Cavpor_AccNumber	Hhyd_Code	Marmota	Squirrel	Castor	KangRat	Jerboa	BMRat	DeerMouse	Hamster	Vole	Rat 	Mouse	GuineaPig	Capybara	Degu	Chinchilla	NMRat
XM_003466536	s10_000975325	0.0344	0.1494	0.1704	0.0603	0.0807	0.1666	0.0001	0.0984	0.0707	0.0264	0.1989	0.1521	0.1932	0.2632	0.1735	0.2599
XM_003464682	s5_001085589	0.0001	0.0001	0.0062	0.0206	0.0194	0.0147	0.0312	0.0166	0.0382	0.0001	0.0170	0.0515	0.0001	0.0091	0.0247	0.0001
XM_003465082	s5_001186263	0.0001	0.4912	0.1563	0.1207	0.0661	0.0907	0.4463	0.2963	0.1644	0.1821	0.2568	0.0451	0.1064	0.0001	0.0001	0.0687
XM_003465166	s5_001217541	0.0479	0.0237	0.0446	0.0635	0.1017	0.0803	0.0554	0.0505	0.1233	0.0377	0.0647	0.0604	0.0608	0.0916	0.0710	0.1012
XM_003473914	s6_000047136	0.0001	0.0001	0.0001	0.6072	0.6934	0.0363	0.0001	0.1170	0.0599	0.2742	0.1385	0.1487	0.5610	0.0396	0.3574	0.0807
XM_003473857	s6_000155348	0.0001	999.0000	0.1482	0.1206	0.2118	0.0900	0.1354	0.1644	0.0806	0.0703	0.0473	0.1241	0.1171	0.1250	0.2515	0.1741
XM_003473844	s6_000180316	0.0001	0.0001	0.0085	0.0250	0.0436	0.0099	0.0464	0.0239	0.0302	0.0455	0.0735	0.0001	0.0965	0.0293	0.0802	0.0173
XM_003473799	s6_000258118	0.0001	0.0001	0.2285	0.1687	0.0566	0.0920	0.0533	0.0717	0.1314	0.0498	0.0001	0.6349	0.0001	0.0662	0.1418	0.3014
XM_003478237	s6_000624810	0.0001	0.0001	0.0349	0.0405	0.0584	0.0508	0.0207	0.0360	0.0587	0.0290	0.0829	0.0417	0.0271	0.0415	0.0333	0.0173
XM_003477857	s6_000638333	322.5133	0.0001	0.0437	0.0186	0.0291	0.0736	0.0175	0.0591	0.0001	0.0001	0.0158	0.1237	0.0733	0.0001	0.0001	0.0579
XM_003471291	s6_000773258	0.1180	0.3691	0.1213	0.0950	0.1890	0.1556	0.1136	0.2033	0.1491	0.1491	0.2132	0.0788	0.1416	0.0612	0.0556	0.1450
XM_003466642	s10_001041184	0.0001	0.0001	0.0221	0.0001	0.0166	0.0001	0.0337	0.0321	0.0001	0.0001	0.0001	0.0325	0.0001	0.0001	0.0001	0.0310
XM_013153789	s6_000821641	0.2719	0.0227	0.0194	0.0210	0.0214	0.0179	0.0001	0.0273	0.0275	0.0270	0.0250	0.0867	0.0604	0.0209	0.0510	0.0462
XM_013153946	s6_000882182	1.7541	0.1315	0.1393	0.2108	0.1343	0.2218	0.2232	0.1071	0.2431	0.4633	0.2579	0.2520	0.1292	0.0201	0.3921	0.2877
XM_003471483	s6_000910359	0.0001	0.1337	0.0173	0.1145	0.0713	0.0208	0.0478	0.0872	0.0711	0.0664	0.0441	0.0001	0.0195	0.0233	0.0165	0.0933
XM_003472859	s6_001008534	0.1754	0.9559	0.1360	0.0922	0.0772	0.1122	0.0850	0.0416	0.0492	0.1250	0.0266	0.0307	0.1411	0.0798	0.0392	0.1173
XM_003466128	s6_001222536	0.0349	0.0363	0.0457	0.0299	0.0175	0.0337	0.0388	0.0170	0.0313	0.0071	0.0308	0.0197	0.0438	0.0245	0.0359	0.0744
XM_003466149	s6_001258542	0.1993	0.6024	0.2575	0.2581	0.2921	0.6374	0.3654	0.3840	0.5252	0.3675	0.2684	0.6295	0.4781	0.2897	0.2694	0.5077
XM_003470240	s6_001465682	0.0543	0.0001	0.0140	0.0343	0.0322	0.0056	0.0065	0.0282	0.0067	0.0196	0.0385	0.0131	0.0404	0.0209	0.0079	0.0157
XM_003470106	s6_001538343	999.0000	0.0001	0.0259	0.0550	0.0542	0.0318	0.0208	0.0474	0.0363	0.1661	0.0095	0.0758	0.0437	0.0290	0.0190	0.0528
XM_003470067	s6_001550591	0.0231	0.0288	0.0113	0.0148	0.0241	0.0241	0.0190	0.0243	0.0108	0.0100	0.0001	0.0323	0.0279	0.0039	0.0279	0.0479
XM_003474496	s6_001601263	0.0001	0.1848	0.0249	0.0498	0.0524	0.0442	0.0771	0.1080	0.0480	0.0696	0.0131	0.0001	0.0463	0.0848	0.0734	0.0198
XM_013155451	s10_001145267	0.2508	0.2778	0.0959	0.1179	0.2346	0.2740	0.2885	0.4019	0.1528	0.4595	0.3368	0.6448	0.1960	0.2284	0.1289	0.3616
XM_003474401	s6_001652595	0.8554	0.6386	0.1612	0.2131	0.2128	0.2520	0.0503	0.1259	0.2712	0.1829	0.1524	0.2558	0.1466	0.4123	0.2755	0.1717
XM_003465251	s6_001861261	999.0000	0.0914	0.0829	0.0659	0.0742	0.0744	0.0371	0.1104	0.0574	0.0469	0.0610	0.0550	0.1105	0.1438	0.0001	0.0650
XM_003464551	s6_001922357	0.0001	0.0855	0.0886	0.0415	0.0156	0.0238	0.2298	0.0761	0.0379	0.0674	0.1108	0.0210	0.0958	0.1525	0.0452	0.0652
XM_005001675	s6_002394281	0.1032	0.2070	0.1482	0.0353	0.0642	0.0838	0.0405	0.0996	0.1069	0.0221	0.0512	0.1312	0.0588	0.0585	0.2935	0.1097
XM_005004705	s7_000350313	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0453	0.0043	0.0001
XM_003472194	s7_000407564	0.0916	0.2156	0.0355	0.0864	0.1386	0.1593	0.0872	0.0585	0.0697	0.0601	0.1854	0.0952	0.1950	0.0704	0.0657	0.1385
XM_003477196	s7_000488381	0.0001	0.2599	0.1269	0.0607	0.0669	0.0860	0.0642	0.0845	0.0921	0.0001	0.0801	0.0643	0.0982	0.0623	0.0868	0.1502
XM_003474315	s7_000711763	0.0251	0.0001	0.0286	0.0307	0.0182	0.0946	0.0341	0.0453	0.0187	0.0456	0.0365	0.0238	0.0226	0.0239	0.0382	0.0554
XM_013155245	s7_001100174	999.0000	0.0001	0.0673	0.0960	0.1046	0.3619	0.1174	0.0901	0.0763	0.1618	0.0410	0.1464	0.2263	0.0920	0.1044	0.4925
XM_003472489	s7_001184470	0.6224	0.3983	0.0149	0.0634	0.0595	0.0442	0.0403	0.0612	0.0947	0.0414	0.0607	0.1097	0.0543	0.1489	0.0497	0.0734
XM_003472636	s10_001232232	0.0001	247.6528	0.0138	0.0228	0.0117	0.0425	0.0001	0.0001	0.0001	0.1232	0.0001	0.0262	0.0333	0.0001	0.0001	0.0001
XM_003463053	s7_001217420	0.3422	0.0001	0.0135	0.0467	0.0445	0.0721	0.0001	0.0743	0.0400	0.0914	0.0001	0.0001	0.0001	0.1215	0.0001	0.0606
XM_013146218	s7_001274537	0.6238	0.2072	0.3151	0.2473	0.1866	0.5179	0.2449	0.2710	0.2122	0.4012	0.2838	0.2941	0.3870	0.3073	0.2395	0.3278
XM_003467293	s7_001457954	0.1483	0.0322	0.1074	0.0972	0.1036	0.1739	0.0797	0.0540	0.0730	0.0991	0.0465	0.1484	0.0704	0.0806	0.0891	0.1248
XM_003467166	s7_001585313	0.0001	0.0001	0.1169	0.1279	0.1910	0.1167	0.0869	0.0586	0.0834	0.1033	0.0776	0.0560	0.1184	0.0533	0.0781	0.1826
XM_003469542	s7_001635989	0.1567	0.0639	0.0756	0.0295	0.0581	0.0601	0.0426	0.0340	0.0514	0.0491	0.0161	0.0601	0.0608	0.0619	0.0573	0.0456
XM_003463001	s7_002287257	0.0931	0.0001	0.0223	0.0188	0.0087	0.0001	0.0577	0.0001	0.0345	0.0001	0.0001	0.0001	0.1590	0.0001	0.0001	0.0001
XM_004999926	s7_002296538	999.0000	0.4284	0.3813	0.1992	0.2753	0.7640	0.4259	0.6045	0.3429	0.2451	0.3261	0.4641	0.1565	0.2972	0.2641	0.4742
XM_003476901	s8_000055359	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
XM_013150643	s8_000189476	0.0001	0.0001	0.0598	0.0293	0.0101	0.0380	0.0085	0.0518	0.0232	0.0001	0.0144	0.0001	0.0217	0.0267	0.0258	0.0080
XM_003468969	s8_000422454	0.0476	0.1363	0.1094	0.1274	0.3079	0.1522	0.1971	0.1238	0.1612	0.1545	0.4668	0.2536	0.3186	0.1740	0.1322	0.2612
XM_003476634	s10_001305331	0.0001	0.1008	0.1287	0.1708	0.1361	0.1939	0.1174	0.2695	0.1501	0.0946	0.2751	0.1784	0.1177	0.1809	0.0868	0.2228
XM_003468494	s8_000801353	2.3064	0.4354	0.1603	0.3263	0.2511	0.1899	0.1960	0.2211	0.1417	0.1455	0.2241	0.2039	0.4442	0.3464	0.2033	0.2397
XM_003468455	s8_000837422	0.1110	0.2670	0.1160	0.1671	0.1374	0.0957	0.2006	0.2015	0.1154	0.0435	0.1220	0.1147	0.1927	0.0425	0.1333	0.1443
XM_003464486	s8_000980374	0.0001	0.0001	0.0001	0.0001	0.0078	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0098	0.0256	0.0173
XM_003479249	s8_001215406	0.0001	0.0001	0.0655	0.0795	0.0563	0.0298	0.0001	0.1223	0.0501	0.0543	0.1200	0.0737	0.0391	0.0334	0.2674	0.0829
XM_004999861	s8_001912479	0.0703	1.5361	0.1056	0.0907	0.1049	0.1755	0.0777	0.0573	0.1190	0.1242	0.3335	0.3034	0.1611	0.0767	0.1954	0.2142
XM_003478023	s8_001967611	0.1241	0.0001	0.0602	0.0049	0.0324	0.0419	0.0480	0.0001	0.0392	0.0264	0.0705	0.0618	0.1646	0.0078	0.0418	0.2307
XM_005008504	s8_002151339	0.0001	0.0001	0.0188	0.0477	0.0160	0.0217	0.0781	0.0315	0.0193	0.0001	0.0284	0.0396	0.0758	0.0001	0.0001	0.0330
XM_003471353	s8_002154503	0.0517	0.0001	0.0613	0.0334	0.0312	0.0478	0.0113	0.0479	0.0453	0.0249	0.0340	0.0961	0.0401	0.0429	0.0407	0.0441
XM_013153269	s8_002408738	0.0586	0.0841	0.0433	0.0465	0.0335	0.0526	0.0211	0.0684	0.0314	0.0488	0.0310	0.0432	0.1415	0.0339	0.0536	0.0347
XM_003470641	s8_002448329	0.2243	0.0001	0.1578	0.0812	0.0792	0.0890	0.0480	0.1327	0.1548	0.0753	0.1865	0.2734	0.2827	0.3156	0.0449	0.1018
XM_003467779	s10_001374494	0.0708	0.5626	0.1224	0.1149	0.0536	0.1153	0.0651	0.0734	0.0609	0.1282	0.1397	0.0422	0.1327	0.0849	0.0899	0.1766
XM_003475368	s8_002663203	32.4736	0.0001	0.0573	0.0291	0.0001	0.0001	0.0001	0.0681	0.0001	0.0001	0.0436	0.0001	0.4674	0.0728	0.0001	0.0001
XM_003477618	s9_000016983	0.0001	0.0001	0.0495	0.0346	0.0287	0.0357	0.0253	0.0426	0.0311	0.0477	0.0342	0.0659	0.0146	0.0294	0.0124	0.0199
XM_003475114	s9_000124289	0.0001	0.3962	0.1026	0.0355	0.0371	0.0514	0.0001	0.0001	0.1257	0.0766	0.0001	0.0001	0.0588	0.1203	0.1668	0.1008
XM_003479155	s9_000311382	0.0001	0.0001	0.0178	0.0653	0.0150	0.0001	0.0001	0.0175	0.0001	0.0199	0.0329	0.0001	0.0963	0.0001	0.0001	0.0418
XM_003475157	s9_000463605	0.2094	0.1449	0.1063	0.0699	0.0553	0.0876	0.1238	0.0862	0.1242	0.0746	0.0831	0.1949	0.0782	0.1009	0.0966	0.2306
XM_003475166	s9_000479652	0.0001	0.0001	0.0136	0.0358	0.0326	0.0155	0.0335	0.0115	0.0115	0.0186	0.0282	0.0001	0.0001	0.0157	0.0001	0.0675
XM_003475053	s9_000494176	0.0001	0.2068	0.2869	0.3864	0.1699	0.2376	0.1476	0.2602	0.1357	0.1999	0.4378	0.3740	0.4651	0.2220	0.1494	0.2840
XM_003465269	s9_001348204	7.0654	0.0711	0.1756	0.0223	0.0918	0.1239	0.0423	0.0001	0.1137	0.0001	0.0356	0.1852	0.5659	0.1254	0.0974	0.1764
XM_003460988	s9_001585248	0.0001	0.3383	0.1933	0.1495	0.0936	0.3181	0.0823	0.0752	0.0905	0.0753	0.0536	0.3388	0.4741	0.1176	0.0323	0.1309
XM_003477222	s10_002236714	0.6457	0.1195	0.1761	0.0895	0.1859	0.1026	0.0697	0.1439	0.0763	0.0769	0.1624	0.2178	0.0698	0.0988	0.2414	0.1697
XM_003471879	s10_001464303	0.0736	0.0001	0.0165	0.0232	0.0264	0.0579	0.1596	0.0359	0.0502	0.0259	0.0533	0.0908	0.0001	0.0497	0.0418	0.1551
XM_003472841	s1_000926420	0.0717	0.0351	0.0891	0.1281	0.1168	0.1784	0.1299	0.0911	0.0898	0.0538	0.1863	0.0507	0.6078	0.1094	0.3029	0.2429
XM_003472809	s1_000931270	0.0480	0.2591	0.2410	0.1594	0.3133	0.2329	0.2308	0.1671	0.2072	0.4751	0.1511	0.3763	0.1711	0.1481	0.2171	0.2721
XM_003477095	s2_000256492	0.0001	0.0001	0.0470	0.0142	0.0072	0.0001	0.0001	0.0001	0.0001	0.0001	0.0542	0.0001	0.0446	0.0114	0.0905	0.0174
XM_013155631	s3_001494183	0.0001	0.0001	0.0232	0.0329	0.0498	0.0156	0.0001	0.0335	0.0001	0.0001	0.0300	0.0001	0.0001	0.0001	0.1180	0.1049
XM_003472918	s5_000590299	0.0001	0.0001	0.1202	0.0298	0.0262	0.0001	0.0194	0.0410	0.0181	0.0666	0.0001	0.0540	0.0001	0.0424	0.0506	0.1143
XM_003473720	s6_000016273	0.5128	0.1893	0.1665	0.1032	0.0594	0.0343	0.0400	0.0406	0.0612	0.1007	0.1653	0.3237	0.1106	0.1467	0.0710	0.2965
XM_003474295	s6_001637206	999.0000	0.0001	0.2759	0.0745	0.1466	0.0582	0.0262	0.0468	0.1911	0.1508	0.1526	0.3347	0.4914	0.2820	0.1697	0.1999
XM_003469585	s7_001668260	0.1739	0.0001	0.0703	0.2648	0.0783	0.0870	0.0386	0.1300	0.0001	0.0843	0.0345	0.0001	0.0667	0.1527	0.0001	0.2612
XM_003473944	s7_002451367	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
XM_003480039	s3_000161120	0.0001	0.0001	0.0830	0.0578	0.0194	0.0382	0.2040	0.4613	0.1062	0.3397	0.0001	0.4235	1.4171	0.0001	0.1949	0.3430
XM_003474180	s10_001632186	0.0001	0.1675	0.1536	0.1573	0.2602	0.2464	0.0843	0.1688	0.7743	0.1345	0.4004	0.0947	0.0722	0.3387	0.1017	0.1546
XM_003471848	s1_001173483	0.0921	0.0001	0.0739	0.0752	0.1466	0.0425	0.0423	0.0194	0.0445	0.0395	0.0001	0.0371	0.0376	0.0552	0.0997	0.0354
XM_003471865	s1_001148607	0.2892	0.2069	0.2899	0.0709	0.2025	0.1127	0.1687	0.1186	0.1258	0.1174	0.1554	0.0439	0.2365	0.1538	0.1773	0.1718
XM_003463618	s2_001323315	0.1446	999.0000	0.1733	0.0695	0.0739	0.0169	0.0109	0.0001	0.0411	0.1186	0.0262	0.0142	0.0149	0.0121	0.1277	0.0857
XM_003463565	s2_001365125	0.0001	0.0001	0.0001	0.0183	0.0166	0.0269	0.0001	0.0001	0.0351	0.0001	0.0001	0.0001	0.0001	0.0001	0.0283	0.0001
XM_003477422	s6_000495359	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
XM_013154173	s6_000792246	0.4452	0.0001	0.6785	0.1460	0.2217	0.4347	0.1531	0.1735	0.0964	0.1025	0.0815	0.1058	0.0495	0.1350	0.0786	0.2646
XM_003462287	s2_002333112	0.0001	0.0001	0.7266	0.1815	0.3522	0.2563	0.0850	0.0001	0.1417	0.1796	0.4029	0.2447	2.9863	0.5214	0.5315	0.8583
XM_003465073	s1_000450279	0.0001	0.0001	0.1360	0.0121	0.0127	0.0288	0.0001	0.0001	0.0254	0.0429	0.1289	0.1959	0.2996	0.0580	0.0703	0.1300
XM_003463167	s7_0023701146	0.1462	0.3838	0.1785	0.1736	0.1260	0.1232	0.0772	0.1208	0.1574	0.1019	0.1478	0.1069	0.7109	0.1325	0.1675	0.2082
XM_005008345	s4_000874232	0.0001	0.0001	0.0001	0.0085	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.2125	0.0001	0.0001	0.0001	0.0001
XM_003469494	s10_001661340	0.3235	0.1707	0.2121	0.2141	0.1934	0.3978	0.1492	0.0896	0.1326	0.2795	0.0951	0.3462	0.2967	0.2541	0.1135	0.1179
XM_003476068	s10_001546284	0.0001	0.3531	0.1117	0.0193	0.0896	0.0712	0.0503	0.0274	0.0443	0.1048	0.0318	0.0001	0.0701	0.0472	0.0102	0.0602
NM_001173398	s8_000229332	0.0584	0.0368	0.0800	0.0636	0.0520	0.0531	0.0438	0.0471	0.0087	0.0249	0.0550	0.0277	0.0001	0.0783	0.0308	0.0453
XM_003467570	s9_000739548	0.5528	0.1378	0.0290	0.0711	0.0310	0.0453	0.1793	0.0224	0.0350	0.0196	0.0241	0.0461	0.0368	0.2689	0.0564	0.1772
XM_005007003	s1_001003340	0.1073	0.1559	0.5517	0.1453	0.0364	0.0933	0.0846	0.0310	0.0001	0.1135	0.2979	0.1161	0.0001	0.2019	0.0284	0.0001
XM_003478651	s10_000050409	0.2144	0.0001	0.0650	0.0391	0.0612	0.0241	0.0255	0.0357	0.0436	0.1032	0.0001	0.0867	0.0001	0.0791	0.0243	0.0205
XM_013142313	s10_000118325	0.3110	0.0001	0.0580	0.0454	0.1118	0.2022	0.0209	0.1199	0.0941	0.1812	0.1584	0.0354	0.1190	0.0992	0.1529	0.1939
XM_003478499	s10_000088356	0.0663	0.0001	0.0553	0.0053	0.0304	0.0001	0.0126	0.0604	0.0209	0.0097	0.0331	0.0001	0.0484	0.0001	0.0253	0.0929
XM_003464711	s1_001496225	0.0001	0.0001	0.3787	0.3674	0.4032	0.3124	0.6592	0.2164	0.2434	0.1817	0.1812	0.2847	0.4784	0.3124	0.3523	0.0488
XM_003470832	s9_000705292	999.0000	0.0001	0.0089	0.0523	0.0179	0.0522	0.0001	0.0476	0.0001	0.0711	0.0524	0.0632	0.0507	0.0175	0.0388	0.0691
XM_003470851	s9_000659579	0.3124	0.0563	0.0567	0.0660	0.0803	0.0556	0.0339	0.1022	0.0896	0.2432	0.0739	0.1414	0.1770	0.0830	0.0282	0.0942
XM_003462244	s10_001739431	1.2431	0.0001	0.0888	0.2330	0.2394	0.1604	0.2496	0.1812	0.1649	0.1903	0.1831	0.3019	0.5939	0.2094	0.4028	0.2624
XM_003478706	s10_000064895	0.1644	0.8836	0.2310	0.0788	0.0523	0.0899	0.1538	0.0480	0.2090	0.1361	0.2431	0.1343	0.2438	0.1391	0.0541	0.0914
XM_003474395	s2_001570343	0.3115	0.0001	0.2632	0.0068	0.0299	0.0549	0.0182	0.0838	0.0183	0.0001	0.0001	0.1015	0.0001	0.0580	0.0001	0.0493
XM_003474600	s2_001534401	0.0405	0.0001	0.1601	0.0307	0.0781	0.1613	0.1051	0.1201	0.1321	0.0785	0.1035	0.0496	0.0617	0.0164	0.0774	0.1202
XM_003475306	s1_002283658	0.1114	0.0792	0.1110	0.0378	0.0334	0.1827	0.1790	0.0666	0.1162	0.0638	0.0324	0.1487	0.1339	0.1006	0.0960	0.1429
XM_003477398	s7_000534355	0.0001	0.0001	0.0001	0.0001	0.0384	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.2322	0.0001	0.0001	0.2365
XM_003470440	s5_000686150	0.0001	0.1665	0.4246	0.0759	0.0932	0.1345	0.2321	0.1138	0.2223	0.2692	0.0682	0.1653	0.8390	0.1132	0.1014	0.5154
XM_004999749	s9_001453116	0.0001	0.8709	0.0217	0.1016	0.0441	0.0418	0.0001	0.0001	0.0338	0.0001	0.0001	0.0001	0.2862	0.0760	0.0001	0.0841
XM_003474249	s7_000769173	0.0001	53.7227	0.1298	0.0737	0.1027	0.0753	0.1399	0.1130	0.0589	0.0994	0.0001	0.0703	0.0728	0.0303	0.0413	0.1052
XM_003464030	s2_001814440	0.0451	0.0958	0.0684	0.0703	0.0436	0.0714	0.0166	0.5400	0.0317	0.0753	0.0720	0.0327	0.0001	0.0509	0.0656	0.1663
XM_013144366	s9_000244417	0.1711	0.0001	0.2602	0.1217	0.0975	0.1496	0.0764	0.1503	0.0319	0.0669	0.0478	0.2254	0.2041	0.1379	0.1193	0.1086
XM_003475005	s9_000118311	0.4298	0.6154	0.1109	0.1706	0.1330	0.0843	0.0578	0.0222	0.0849	0.0354	0.1426	0.3323	0.1174	0.1112	0.0710	0.1907
XM_003462242	s10_001740335	0.2136	0.0001	0.4252	0.1807	0.1359	0.1376	0.1952	0.3803	0.1386	0.1449	0.1072	0.6456	0.1190	0.2143	0.3394	0.3133
XM_005002196	s1_001454174	0.7957	999.0000	0.0395	0.5584	0.0366	0.0001	0.0001	0.0001	0.1149	0.0001	0.0644	0.0001	0.0001	0.0001	0.0432	0.0622
XM_003478444	s1_001394277	0.8060	0.3129	0.1813	0.1291	0.2376	0.2501	0.1736	0.1182	0.1688	0.1899	0.3386	1.0459	0.6239	0.2464	0.0936	0.1757
XM_003461355	s4_000925442	12.6186	0.0001	0.0001	0.0056	0.0001	0.0101	0.0001	0.0001	0.0001	0.0001	0.0001	0.1579	0.1438	0.0137	0.0119	0.0056
XM_013146797	s6_001947473	0.0001	0.0001	0.0670	0.0150	0.0591	0.0096	0.0001	0.2005	0.0001	0.0001	0.0553	0.0001	0.0001	0.0184	0.0001	0.0001
XM_013151489	s6_001129185	0.0001	0.0001	0.0321	0.3465	0.0265	0.0001	0.0001	0.2759	0.1788	0.0001	0.0276	0.0919	0.3986	0.1736	0.0001	0.1498
XM_003474498	s6_001599442	999.0000	0.0001	0.0826	0.1071	0.0877	0.1233	0.1685	0.0941	0.0757	0.1140	0.0747	0.0812	0.2553	0.1486	0.0460	0.0972
XM_003471011	s5_000946866	0.4128	0.0001	0.0001	0.0171	0.0188	0.0068	0.0263	0.0200	0.0137	0.0001	0.0233	0.0001	0.1013	0.0160	0.0001	0.0208
XM_003471016	s5_000957241	0.2111	0.0001	0.2735	0.3848	0.1881	0.2734	0.4070	0.3342	0.3188	0.2877	0.4433	0.4757	0.5188	0.1741	0.3974	0.8451
XM_013147031	s3_002552273	0.5764	0.1665	0.0905	0.0798	0.1282	0.1545	0.1540	0.2119	0.0753	0.0866	0.0398	0.0269	0.3682	0.0675	0.1031	0.1057
XM_003462391	s10_001786495	0.0001	0.3557	0.0620	0.0621	0.0561	0.0556	0.0293	0.1215	0.0781	0.1121	0.0259	0.0791	0.1783	0.0525	0.1529	0.1326
XM_013156832	s6_000335513	0.0001	0.1079	0.0503	0.0116	0.0164	0.0083	0.0305	0.0001	0.0226	0.0290	0.0112	0.0484	0.0001	0.0357	0.0001	0.0500
XM_003477821	s4_001081270	0.0001	0.0310	0.0079	0.0043	0.0001	0.0001	0.0001	0.0355	0.0278	0.0001	0.0001	0.0001	0.0001	0.0147	0.0001	0.0093
XM_003466002	s4_000134270	0.9332	1.0213	0.0724	0.0001	0.0402	0.0585	0.0926	0.0604	0.0657	0.1064	0.0529	0.1769	0.0001	0.0001	0.0501	0.0001
XM_003464347	s4_001138304	0.0001	0.0001	0.0420	0.0109	0.0063	0.0001	0.0001	0.0137	0.0001	0.0184	0.0001	0.0001	0.0001	0.0001	0.0279	0.0194
XM_003466246	s5_000350160	0.1875	0.0001	0.0001	0.1304	0.1287	0.1165	0.0366	0.0691	0.0486	0.3167	5.8504	0.2887	0.1637	0.0726	0.0001	0.4843
XM_005008590	s8_000493283	0.0001	0.0001	0.0754	0.1015	0.1224	0.2204	0.1215	0.3052	0.1208	0.1822	0.5324	0.0753	0.1898	0.3298	0.1029	0.0534
XM_003463071	s7_001245186	0.0001	0.0001	0.0486	0.0310	0.1136	0.1407	0.1262	0.0622	0.0867	0.0001	0.2580	0.0001	0.0933	0.2949	0.4425	0.0816
XM_005002839	s10_001080814	0.4270	0.0250	0.0682	0.0758	0.0675	0.0838	0.0775	0.0738	0.0989	0.0527	0.0496	0.0922	0.1177	0.1008	0.0730	0.0823
XM_003467581	s7_002372195	1.6786	0.0001	0.0650	0.0254	0.0573	0.0130	0.1294	0.0677	0.1179	0.2552	0.0001	0.1262	0.0296	0.0001	0.3583	0.1725
XM_003467045	s4_000814422	0.0675	0.0600	0.0566	0.0211	0.0273	0.0432	0.0306	0.0512	0.0465	0.0200	0.1320	0.0760	0.0454	0.0562	0.0319	0.0351
XM_003466998	s10_001890362	0.1654	999.0000	0.0509	0.0664	0.0703	0.0657	0.1569	0.1915	0.0395	0.0640	0.0401	0.1120	0.0857	0.1804	0.0891	0.1167
XM_003467122	s10_001900743	0.0853	0.0381	0.2080	0.1869	0.1307	0.1655	0.0744	0.1780	0.0977	0.1847	0.1628	0.1674	0.1629	0.1633	0.0947	0.1526
XM_003479785	s10_001985446	999.0000	0.1745	0.1324	0.0892	0.0544	0.0553	0.1121	0.0475	0.1003	0.1990	0.0644	0.0178	0.0846	0.0805	0.0862	0.2241
XM_003467923	s10_001997351	1.7981	0.1302	0.0571	0.1515	0.1034	0.5482	0.0001	0.0001	999.0000	0.1991	0.0893	0.0312	0.0001	0.0377	0.0001	0.1311
