Cluster,Capybara_ID,ensmbl_CporID,gene_name,LR_codeml,Pval_codeml,LR_aBSREL,Pval_aBSREL
cluster10169,s10_002158-RA,ENSCPOP00000006259,ABHD8,0,1,0,1
cluster10170,s9_000862-RA,ENSCPOP00000010006,VCPKMT,28.604396,8.87804026281e-08,33.6268896189763,1.63022744192887e-08
cluster10171,s3_000589-RA,ENSCPOP00000002980,EMX2,44.311922,2.80005766649e-11,47.4581818101051,1.59731672333407e-11
cluster10172,s5_001085-RA,ENSCPOP00000015400,IRF2BP1,0,1,0,1
cluster10173,s9_000510-RA,ENSCPOP00000004573,UBE2H,27.524244,1.55137582449e-07,33.1788324523291,2.04065362940931e-08
cluster10175,s10_000225-RA,ENSCPOP00000015572,DAPL1,0.0104699999999,0.918500285523,0,1
cluster10176,s7_001320-RA,ENSCPOP00000006861,SLC9A2,0,1,0,1
cluster10177,s10_001456-RA,ENSCPOP00000015094,0,14.290266,0.000156672967536,15.1847400764254,0.000170782950764892
cluster10178,s8_002195-RA,ENSCPOP00000003079,LRRC1,77.064608,1.65455877188e-18,59.9107548825032,3.13082892944294e-14
cluster10179,s9_001243-RA,ENSCPOP00000018911,RXFP4,0,1,0,1
cluster10180,s1_001493-RA,ENSCPOP00000012930,Brs3,0,1,0,1
cluster10181,s5_000572-RA,ENSCPOP00000019639,ABCG5,58.909364,1.65104614538e-14,39.762442410587,7.53693885080509e-10
cluster10182,s4_001953-RA,ENSCPOP00000005004,MPV17L2,0,1,0,1
cluster10183,s5_001207-RA,ENSCPOP00000016208,F2,50.115132,1.44984623253e-12,25.0385187867878,1.20906280037803e-06
cluster10184,s7_000482-RA,ENSCPOP00000007831,RACK1,0,1,0,1
cluster10185,s10_000736-RA,ENSCPOP00000007251,CFL1,0,1,0,1
cluster10186,s4_000937-RA,ENSCPOP00000017439,RASAL1,0,1,0,1
cluster10187,s8_002261-RA,ENSCPOP00000016974,PHAX,0,1,0,1
cluster10188,s2_001189-RA,ENSCPOP00000017756,NOL9,8.193978,0.00420296638163,3.11429696607593,0.0787424325444631
cluster10189,s5_000457-RA,ENSCPOP00000001461,PDE12,8.550482,0.00345430750854,6.79021592017307,0.0118942564288592
cluster10190,s9_001339-RA,ENSCPOP00000007057,UBQLN3,0,1,0,1
cluster10191,s1_001172-RA,ENSCPOP00000007537,SPATA5L1,0,1,0,1
cluster10192,s5_000879-RA,ENSCPOP00000021217,FOXB1,0,1,0,1
cluster10193,s1_002326-RA,ENSCPOP00000008599,CCDC174,51.25314,8.11907631937e-13,50.0641882090326,4.33242330899475e-12
cluster10194,s3_000324-RA,ENSCPOP00000003398,B4GALT4,0,1,0,1
cluster10195,s3_000777-RA,ENSCPOP00000008323,NPEPL1,0,1,0,1
cluster10196,s5_000374-RA,ENSCPOP00000013341,TMEM102,0,1,0,1
cluster10197,s8_002414-RA,ENSCPOP00000002145,ANGPTL2,69.312912,8.40177516512e-17,56.6948175681932,1.56707979925841e-13
cluster10198,s8_000544-RA,ENSCPOP00000001891,COMMD1,39.163088,3.89841179407e-10,36.0126947580841,4.93215701613536e-09
cluster10199,s4_000151-RA,ENSCPOP00000006052,MRPL15,0,1,0,1
cluster10200,s8_000029-RA,ENSCPOP00000003153,0,0.112754,0.737030269339,4.20968777708367,0.0445981560989019
cluster10201,s2_001389-RA,ENSCPOP00000017825,NAA11,0,1,0,1
cluster10202,s2_000645-RA,ENSCPOP00000020979,GPR65,0.0286759999999,0.865529297506,0,1
cluster10204,s7_002432-RA,ENSCPOP00000015547,ZBTB12,-0.000592000000324,1,0,1
cluster10205,s8_000396-RA,ENSCPOP00000002733,SUCLG1,32.753432,1.04621421103e-08,26.7225212695321,5.19471080318024e-07
cluster10206,s6_000107-RA,ENSCPOP00000017680,MTCH1,44.040922,3.21581859336e-11,29.9059130268656,1.05261621585751e-07
cluster10207,s7_002291-RA,ENSCPOP00000004989,SERPINA9,1.167094,0.27999915078,3.13198317302067,0.0780182957280059
cluster10208,s1_001283-RA,ENSCPOP00000007109,0,0,1,0,1
cluster10209,s7_001197-RA,ENSCPOP00000013046,JKAMP,0,1,0,1
cluster10210,s7_000909-RA,ENSCPOP00000018188,RSBN1L,49.109126,2.42111170997e-12,36.1307614555553,4.64884797324316e-09
cluster10211,s1_001280-RA,ENSCPOP00000000527,ESAM,51.996218,5.56076368327e-13,54.9681155385897,3.71980224400659e-13
cluster10212,s7_001397-RA,ENSCPOP00000018007,MALL,22.557312,2.03966721325e-06,21.940418706708,5.72451725128209e-06
cluster10213,s9_000257-RA,ENSCPOP00000009035,DUSP4,0,1,0,1
cluster10214,s8_000853-RA,ENSCPOP00000006289,TXLNB,87.207836,9.76959639644e-21,73.5330410403103,5.55111512312578e-17
cluster10215,s3_000233-RA,ENSCPOP00000010141,TOMM70,0,1,0,1
cluster10216,s4_002007-RA,ENSCPOP00000010334,PLXNA3,0,1,0,1
cluster10217,s4_001919-RA,ENSCPOP00000015073,BORCS8,0,1,0,1
cluster10218,s10_000117-RA,ENSCPOP00000009980,MTX2,100.068338,1.4722842503e-23,84.3853297081391,0
cluster10219,s10_000139-RA,ENSCPOP00000009226,CIR1,0.00112800000034,0.97320751661,0,1
cluster10220,s10_001645-RA,ENSCPOP00000006377,0,0,1,0,1
cluster10221,s2_002152-RA,ENSCPOP00000010014,H1F0,0,1,0,1
cluster10222,s6_001762-RA,ENSCPOP00000005479,FUT1,0,1,0,1
cluster10223,s3_001409-RA,ENSCPOP00000002803,KLHL42,0,1,0,1
cluster10225,s7_001474-RA,ENSCPOP00000007694,GPI,3.767254,0.0522653705921,1.04673463642393,0.239008658438483
cluster10226,s10_000581-RA,ENSCPOP00000006888,DIRAS2,0,1,0,1
cluster10227,s1_000877-RA,ENSCPOP00000002398,NARS2,1.350346,0.245217637735,1.88864993285097,0.150553464265696
cluster10228,s7_001372-RA,ENSCPOP00000015236,ANKRD23,-3.00000001516e-05,1,0,1
cluster10229,s4_000630-RA,ENSCPOP00000010045,MCRS1,0,1,6.8425117870247,0.0115816850718619
cluster10230,s7_001083-RA,ENSCPOP00000003900,GALNT16,0,1,0,1
cluster10231,s9_000567-RA,ENSCPOP00000005116,CAVIN4,10.424442,0.00124358425004,15.1125509336352,0.000177103191120687
cluster10232,s6_000035-RA,ENSCPOP00000017967,PFDN6,0,1,0,1
cluster10233,s7_000767-RA,ENSCPOP00000002228,FAM71A,0,1,0,1
cluster10234,s2_001136-RA,ENSCPOP00000006371,DISP3,38.153154,6.54039366807e-10,23.516368350116,2.59521733886325e-06
cluster10235,s6_001142-RA,ENSCPOP00000000158,0,25.534322,4.34582979876e-07,30.2991173463597,8.64285247259566e-08
cluster10236,s1_001454-RA,ENSCPOP00000003774,PRDX4,49.380806,2.10798065313e-12,54.3205215998589,5.14366327308835e-13
cluster10237,s10_002217-RA,ENSCPOP00000007712,0,5.911016,0.0150464914385,3.90872633157141,0.0521035954017789
cluster10238,s2_001221-RA,ENSCPOP00000020510,FAM213B,19.96807,7.87462148965e-06,16.8417160228792,7.41937423072714e-05
cluster10239,s2_002658-RA,ENSCPOP00000007784,C16orf45,13.798114,0.000203540450667,17.6896802912843,4.84377135543945e-05
cluster10240,s6_000227-RA,ENSCPOP00000009657,CD2AP,49.226096,2.28095999447e-12,41.2031917012764,3.66254082617701e-10
cluster10241,s4_001285-RA,ENSCPOP00000002576,SDR9C7,0,1,0,1
cluster10242,s8_001769-RA,ENSCPOP00000014920,THOP1,0,1,0,1
cluster10243,s8_001296-RA,ENSCPOP00000019208,TXNIP,0,1,0,1
cluster10245,s8_002127-RA,ENSCPOP00000005940,0,6.257916,0.0123639562504,6.31496315639606,0.0151542811573067
cluster10246,s5_001101-RA,ENSCPOP00000001455,PTGIR,0,1,0,1
cluster10247,s3_001136-RA,ENSCPOP00000020053,0,0,1,0,1
cluster10249,s10_001911-RA,ENSCPOP00000019468,HSPB9,0,1,0,1
cluster10250,s3_002270-RA,ENSCPOP00000009081,MCM2,0,1,0,1
cluster10251,s8_001164-RA,ENSCPOP00000003655,Lpl,0,1,1.36806510472343,0.199802364707215
cluster10252,s7_000463-RA,ENSCPOP00000021076,0,-0.451474,1,0,1
cluster10253,s1_001688-RA,ENSCPOP00000017120,0,0,1,0,1
cluster10254,s3_002196-RA,ENSCPOP00000019926,RNF224,0.00701600000002,0.933246006189,0,1
cluster10255,s10_001448-RA,ENSCPOP00000000026,TRIB1,0,1,0,1
cluster10257,s7_000739-RA,ENSCPOP00000003236,SLC30A10,0.51978,0.47093554281,0,1
cluster10258,s1_001348-RA,ENSCPOP00000005495,GLTP,39.452598,3.36120251553e-10,42.1642006820721,2.26331453578865e-10
cluster10259,s2_001197-RA,ENSCPOP00000014610,HES3,27.615056,1.48022099059e-07,16.239390861082,0.000100450047677558
cluster10260,s6_001331-RA,ENSCPOP00000002184,0,0,1,0,1
cluster10262,s4_001118-RA,ENSCPOP00000009458,TUFM,0.154428000001,0.694339215411,0,1
cluster10263,s2_000502-RA,ENSCPOP00000001441,0,0,1,0,1
cluster10264,s10_001170-RA,ENSCPOP00000001295,MPZL2,0,1,0,1
cluster10266,s2_001465-RA,ENSCPOP00000010127,TRIM44,0.89276,0.344730468474,0,1
cluster10267,s8_001050-RA,ENSCPOP00000008194,CTSB,0,1,0,1
cluster10268,s9_000310-RA,ENSCPOP00000006609,ZNF326,0,1,0,1
cluster10269,s1_001408-RA,ENSCPOP00000000353,BICDL1,0,1,0,1
cluster10270,s3_000559-RA,ENSCPOP00000001994,HABP2,0,1,6.56439912909718,0.0133444517862415
cluster10271,s4_000298-RA,ENSCPOP00000017156,HMX3,0.0174440000001,0.89492438775,0,1
cluster10272,s7_002496-RA,ENSCPOP00000009210,MMP28,0.00666399999955,0.934938298993,0,1
cluster10273,s2_002180-RA,ENSCPOP00000002305,CACNG2,0,1,0,1
cluster10274,s6_001118-RA,ENSCPOP00000000927,MAOA,32.247846,1.35707447464e-08,33.8411003831689,1.46428631442319e-08
cluster10276,s1_001888-RA,ENSCPOP00000020107,ZBED3,0,1,0,1
cluster10277,s8_002313-RA,ENSCPOP00000015835,ERAS,5.205402,0.0225168074948,3.55061475352386,0.0627340873676031
cluster10278,s10_001890-RA,ENSCPOP00000019480,CCR10,0,1,0,1
cluster10279,s10_001926-RA,ENSCPOP00000008841,GAST,0.0287739999999,0.865301908885,0.126555190669933,0.426011023018478
cluster10280,s8_001460-RA,ENSCPOP00000006143,LTN1,0,1,0,1
cluster10281,s10_002230-RA,ENSCPOP00000008157,SYT5,0,1,0,1
cluster10282,s8_002552-RA,ENSCPOP00000015760,MRPL9,1.315288,0.251439461439,0,1
cluster10283,s2_000244-RA,ENSCPOP00000017651,MELTF,74.627814,5.68367826014e-18,69.7428751945481,2.77555756156289e-16
cluster10284,s4_000458-RA,ENSCPOP00000007034,LYVE1,-0.0225600000003,1,0,1
cluster10285,s9_000750-RA,ENSCPOP00000000132,HTR2C,0,1,0,1
cluster10286,s2_001636-RA,ENSCPOP00000000119,ATG4B,0,1,0,1
cluster10287,s6_001326-RA,ENSCPOP00000003652,PDILT,0,1,0,1
cluster10289,s10_000858-RA,ENSCPOP00000006632,FGF3,3.19992,0.0736418722993,1.36963269898661,0.199629844578537
cluster10290,s6_000095-RA,ENSCPOP00000009023,GLO1,54.64374,1.44483819422e-13,59.7173778463525,3.45279360658424e-14
cluster10291,s9_000769-RA,ENSCPOP00000006292,CENPK,46.104076,1.12134918516e-11,36.0264517756887,4.89827683969324e-09
cluster10292,s3_000969-RA,ENSCPOP00000006478,ACBD3,0,1,0,1
cluster10293,s8_001656-RA,ENSCPOP00000019061,0,0,1,0,1
cluster10294,s10_001192-RA,ENSCPOP00000011975,TRAPPC4,0,1,0,1
cluster10295,s8_001763-RA,ENSCPOP00000008443,LMNB2,1.618082,0.203359432812,0,1
cluster10296,s3_001326-RA,ENSCPOP00000019973,PDX1,0,1,0,1
cluster10297,s6_001929-RA,ENSCPOP00000003580,CADM4,0,1,0,1
cluster10298,s1_000162-RA,ENSCPOP00000013972,STARD5,99.45987,2.00178717786e-23,85.3924612001038,0
cluster10299,s7_001074-RA,ENSCPOP00000008062,SMOC1,49.227488,2.27934196481e-12,38.7912714448421,1.22595439355777e-09
cluster10300,s2_001747-RA,ENSCPOP00000005350,CTNNAL1,0,1,0,1
cluster10301,s4_000695-RA,ENSCPOP00000007838,AMIGO2,0,1,0,1
cluster10302,s3_002357-RA,ENSCPOP00000019193,IQCF2,0,1,0,1
cluster10303,s10_002154-RA,ENSCPOP00000019725,NR2F6,0,1,0,1
cluster10304,s2_002114-RA,ENSCPOP00000020449,TAB1,30.15932,3.97970074065e-08,23.7237474449357,2.33869269328224e-06
cluster10305,s8_001588-RA,ENSCPOP00000001565,CDCA4,0.0351720000003,0.851235700269,0,1
cluster10306,s6_000655-RA,ENSCPOP00000003528,0,0,1,0,1
cluster10307,s4_001426-RA,ENSCPOP00000011766,GNA13,62.5791,2.55955310773e-15,55.9503707974932,2.27429186594463e-13
cluster10308,s3_000693-RA,ENSCPOP00000006817,MMP9,1.393272,0.237853313462,1.05680747840779,0.237652477328532
cluster10309,s8_000952-RA,ENSCPOP00000018735,SLC6A5,0,1,0,1
cluster10310,s4_000780-RA,ENSCPOP00000006884,SP6,-0.0341359999998,1,0,1
cluster10312,s1_001228-RA,ENSCPOP00000006893,ADAMTS15,115.510422,6.08384791782e-27,97.4754198769115,0
cluster10313,s7_000165-RA,ENSCPOP00000017325,FOXI1,0,1,0,1
cluster10314,s8_001057-RA,ENSCPOP00000000794,MTMR9,156.88723,5.41741015565e-36,133.919970714488,0
cluster10315,s1_001097-RA,ENSCPOP00000006202,TAF7,1.454962,0.227733423465,0,1
cluster10316,s6_001713-RA,ENSCPOP00000012582,0,0,1,0,1
cluster10317,s5_000443-RA,ENSCPOP00000003320,C1QBP,0,1,0,1
cluster10318,s1_000260-RA,ENSCPOP00000009039,NR2F2,0,1,0,1
cluster10319,s10_000710-RA,ENSCPOP00000018627,ZNHIT2,0,1,0,1
cluster10320,s6_000321-RA,ENSCPOP00000014059,STOX1,2.278994,0.131136909534,0,1
cluster10321,s4_000815-RA,ENSCPOP00000003543,NXPH3,0,1,0,1
cluster10322,s2_000291-RA,ENSCPOP00000010076,Crygs,0,1,0,1
cluster10323,s1_001392-RA,ENSCPOP00000011100,POP5,0,1,0,1
cluster10324,s1_000399-RA,ENSCPOP00000018382,BEND4,0,1,0,1
cluster10325,s2_000966-RA,ENSCPOP00000017702,CRISPLD2,0.800878,0.370830991552,2.71059606465497,0.09729787648348
cluster10326,s2_000883-RA,ENSCPOP00000009161,LDHD,0,1,0,1
cluster10327,s1_000908-RA,ENSCPOP00000012942,FZD4,0,1,0,1
cluster10328,s4_000965-RA,ENSCPOP00000019471,CKS1B,0.0967360000001,0.755782289212,0.109626501121625,0.432112528053558
cluster10329,s2_002056-RA,ENSCPOP00000014096,NAGPA,0,1,0,1
cluster10330,s2_001485-RA,ENSCPOP00000015161,C11orf91,0,1,0,1
cluster10331,s2_000359-RA,ENSCPOP00000010012,ACADM,21.265,3.99968134387e-06,28.8383884332798,1.79773347597223e-07
cluster10336,s8_000020-RA,ENSCPOP00000007787,TDO2,17.592564,2.73656307425e-05,11.8337902789708,0.000924396040712427
cluster10337,s1_001591-RA,ENSCPOP00000004297,GALNT8,0,1,4.91584732227875,0.0310060396056908
cluster10338,s7_001622-RA,ENSCPOP00000008214,CNKSR3,32.350432,1.28728587834e-08,34.3015431481335,1.16256021476247e-08
cluster10339,s6_001424-RA,ENSCPOP00000001900,TAF9B,0,1,0,1
cluster10340,s3_000775-RA,ENSCPOP00000016318,0,0,1,0,1
cluster10341,s2_001796-RA,ENSCPOP00000002239,DES,0,1,0,1
cluster10342,s2_002197-RA,ENSCPOP00000002517,NPRL2,0,1,0,1
cluster10343,s7_000814-RA,ENSCPOP00000014231,FMN2,0,1,0,1
cluster10344,s1_002020-RA,ENSCPOP00000010664,0,0,1,0,1
cluster10345,s8_002522-RA,ENSCPOP00000001477,CERS2,0,1,0,1
cluster10346,s10_000891-RA,ENSCPOP00000003574,USF1,78.213854,9.24677244639e-19,74.6454364307297,5.55111512312578e-17
cluster10347,s10_001739-RA,ENSCPOP00000005980,RBMX2,26.045664,3.33436845496e-07,29.3174771507574,1.41383571405918e-07
cluster10348,s8_002372-RA,ENSCPOP00000013732,ENPP1,8.755528,0.00308664995615,6.61778121975476,0.0129863228819826
cluster10349,s5_000655-RA,ENSCPOP00000019757,0,8.517262,0.00351793374575,6.30253971636194,0.015250625964828
cluster10350,s1_001671-RA,ENSCPOP00000004617,TGM4,0.113536000001,0.736153812142,0,1
cluster10351,s2_002168-RA,ENSCPOP00000006927,IL2RB,0,1,0,1
cluster10352,s2_001585-RA,ENSCPOP00000006191,ESPNL,0,1,0,1
cluster10353,s8_002090-RA,ENSCPOP00000012650,C1orf64,0,1,0,1
cluster10354,s6_001017-RA,ENSCPOP00000003393,CIB4,0,1,0,1
cluster10355,s2_000686-RA,ENSCPOP00000003345,NUDT21,0,1,0,1
cluster10356,s4_000528-RA,ENSCPOP00000016818,0,0,1,0,1
cluster10357,s4_001005-RA,ENSCPOP00000019265,HCAR1,0,1,0,1
cluster10358,s1_001594-RA,ENSCPOP00000019578,KCNA5,0,1,0,1
cluster10359,s10_000443-RA,ENSCPOP00000000772,IRX2,55.357034,1.00509557889e-13,27.2999502823468,3.88850604493563e-07
cluster10360,s2_001945-RA,ENSCPOP00000010461,RPL3L,0,1,0,1
cluster10361,s2_001904-RA,ENSCPOP00000016791,SSTR5,0,1,0,1
cluster10362,s10_001474-RA,ENSCPOP00000008343,TTC6,8.015854,0.00463696025166,5.85192705517511,0.0191959034919307
cluster10363,s7_001360-RA,ENSCPOP00000017786,CNGA3,3.584032,0.0583373950761,3.05400745367115,0.0812632699154285
cluster10364,s6_001513-RA,ENSCPOP00000001371,ZNHIT1,0,1,0,1
cluster10365,s2_002160-RA,ENSCPOP00000004713,CDC42EP1,0,1,0,1
cluster10367,s3_001515-RA,ENSCPOP00000008848,TMPRSS5,8.236312,0.00410604800623,11.3860920189618,0.00115878638688244
cluster10368,s7_001613-RA,ENSCPOP00000002714,VIP,0,1,0,1
cluster10369,s7_002249-RA,ENSCPOP00000000686,BEST2,36.734942,1.3533189919e-09,28.3776631842038,2.26495315780451e-07
cluster10370,s9_000906-RA,ENSCPOP00000001871,MRPS30,11.441226,0.000718323801481,10.825297174948,0.00153818895118346
cluster10371,s6_001922-RA,ENSCPOP00000002075,LYPD3,0,1,0,1
cluster10372,s6_001481-RA,ENSCPOP00000016593,MCIDAS,0,1,0,1
cluster10373,s6_000633-RA,ENSCPOP00000001364,PAGR1,0,1,0,1
cluster10374,s1_001818-RA,ENSCPOP00000000419,GRPR,11.038266,0.0008925030181,15.9471326298726,0.000116361788787822
cluster10375,s4_001537-RA,ENSCPOP00000013571,TPBGL,10.840996,0.000992773179759,0,1
cluster10376,s1_000749-RA,ENSCPOP00000014716,0,0,1,0,1
cluster10377,s7_000056-RA,ENSCPOP00000000239,YTHDC2,72.784992,1.44572071337e-17,66.7286803741863,9.99200722162641e-16
cluster10378,s7_000390-RA,ENSCPOP00000015470,0,0.034122,0.853447550951,0,1
cluster10379,s4_000617-RA,ENSCPOP00000003951,AQP6,0.0073940000002,0.931475661338,0,1
cluster10380,s2_001937-RA,ENSCPOP00000004845,0,0,1,0,1
cluster10381,s4_001688-RA,ENSCPOP00000007746,SLC32A1,0,1,0,1
cluster10383,s6_000866-RA,ENSCPOP00000008630,YARS,0,1,0,1
cluster10384,s10_001511-RA,ENSCPOP00000006590,TIMP3,52.138856,5.1711488693e-13,42.9332387169697,1.5398299302305e-10
cluster10385,s7_001188-RA,ENSCPOP00000007686,ACTR10,100.745046,1.04619028479e-23,101.138643590351,0
cluster10386,s2_001430-RA,ENSCPOP00000020445,MMP2,0,1,0,1
cluster10387,s10_000659-RA,ENSCPOP00000020285,OTUB1,0,1,0,1
cluster10388,s4_001491-RA,ENSCPOP00000013331,PHOX2A,0,1,0,1
cluster10389,s10_001538-RA,ENSCPOP00000000127,TDG,39.441864,3.37972957813e-10,15.3868956961242,0.000154259905392029
cluster10390,s3_001100-RA,ENSCPOP00000015058,BECN2,0.990722,0.319565975397,0,1
cluster10391,s1_001624-RA,ENSCPOP00000011093,P3H3,0,1,0,1
cluster10392,s3_000201-RA,ENSCPOP00000015743,PRDM14,0,1,0,1
cluster10393,s7_000094-RA,ENSCPOP00000014499,PFN3,5.700966,0.0169555785362,1.95265758912137,0.145467594147618
cluster10394,s8_000055-RA,ENSCPOP00000021168,MAB21L2,0,1,0,1
cluster10395,s5_000590-RA,ENSCPOP00000003041,0,9.809576,0.00173605526192,11.5670085757815,0.00105763784705737
cluster10396,s2_001251-RA,ENSCPOP00000015295,0,0,1,0,1
cluster10397,s7_002228-RA,ENSCPOP00000015599,NACC1,0,1,0,1
cluster10398,s8_001047-RA,ENSCPOP00000016670,0,0,1,0,1
cluster10399,s6_001217-RA,ENSCPOP00000020100,0,0,1,0,1
cluster10400,s6_001274-RA,ENSCPOP00000019550,TMEM114,0,1,0,1
cluster10401,s7_001549-RA,ENSCPOP00000009895,PSMD8,0.26165,0.608988842201,0,1
cluster10402,s7_000442-RA,ENSCPOP00000001992,GDA,3.071254,0.0796879801508,4.05579934549405,0.0482874723033367
cluster10403,s8_002004-RA,ENSCPOP00000014636,TCN2,0,1,0,1
cluster10404,s10_000156-RA,ENSCPOP00000012120,DCAF17,0.00105199999962,0.974125510478,0,1
cluster10406,s9_000648-RA,ENSCPOP00000016184,MSMP,0,1,0,1
cluster10408,s3_000027-RA,ENSCPOP00000005229,MTBP,193.343612,5.92277649924e-44,171.084872119904,0
cluster10409,s9_000244-RA,ENSCPOP00000000920,LONRF1,0,1,0,1
cluster10410,s6_000187-RA,ENSCPOP00000010867,MAD2L1BP,0,1,0,1
cluster10412,s8_000031-RA,ENSCPOP00000003144,PLRG1,0,1,0,1
cluster10413,s10_000498-RA,ENSCPOP00000007560,TM9SF2,61.29459,4.91428815274e-15,74.1410512431048,5.55111512312578e-17
cluster10414,s10_001598-RA,ENSCPOP00000019229,GAS1,1.99999999495e-05,0.996431763666,0,1
cluster10415,s4_001708-RA,ENSCPOP00000011619,P2RX6,19.605288,9.52053319464e-06,29.296889044057,1.42850603013223e-07
cluster10416,s9_001381-RA,ENSCPOP00000018420,IQGAP2,20.657436,5.49234629813e-06,12.3424248942611,0.000715166506600584
cluster10417,s10_001064-RA,ENSCPOP00000006807,GARS,14.897936,0.000113487085382,13.9425307784322,0.000319236404160039
cluster10418,s5_001114-RA,ENSCPOP00000020509,SAE1,0,1,0,1
cluster10419,s5_000506-RA,ENSCPOP00000002955,TNNC1,0,1,0,1
cluster10421,s2_000807-RA,ENSCPOP00000019089,PLA2G15,0,1,0,1
cluster10422,s3_001363-RA,ENSCPOP00000007727,SAP18,0,1,0,1
cluster10423,s3_000341-RA,ENSCPOP00000014668,0,0,1,0,1
cluster10424,s6_001289-RA,ENSCPOP00000016725,NUBP1,0,1,0,1
cluster10425,s3_000451-RA,ENSCPOP00000019024,0,0,1,0,1
cluster10426,s5_000041-RA,ENSCPOP00000014420,PP2D1,0.325438,0.568357787759,0,1
cluster10427,s8_001795-RA,ENSCPOP00000010091,MRPL54,1.302778,0.253706412804,0,1
cluster10429,s6_002146-RA,ENSCPOP00000019302,MFAP4,25.421994,4.60636366732e-07,27.1504624245044,4.19125329997882e-07
cluster10430,s8_001694-RA,ENSCPOP00000017199,0,7.99227,0.00469774793508,3.09716591277288,0.0794504292566128
cluster10431,s2_000238-RA,ENSCPOP00000006135,PIGX,0,1,0,1
cluster10432,s2_001339-RA,ENSCPOP00000010815,CSPG4,0,1,0,1
cluster10433,s6_000812-RA,ENSCPOP00000014050,OPRD1,0.00165599999946,0.967539860972,0,1
cluster10434,s3_000082-RA,ENSCPOP00000015838,ERICH5,5.608984,0.0178686205302,6.28991134120952,0.0153491924717665
cluster10435,s10_001283-RA,ENSCPOP00000019354,ZCCHC3,44.37792,2.70723323969e-11,12.8003758234008,0.000567683468343572
cluster10436,s7_001286-RA,ENSCPOP00000020619,PLPP3,0,1,0,1
cluster10437,s9_000441-RA,ENSCPOP00000006798,PROK1,0,1,0,1
cluster10438,s7_001015-RA,ENSCPOP00000009278,NAF1,0,1,0,1
cluster10439,s2_000624-RA,ENSCPOP00000001353,SPTLC2,9.061632,0.00261028892464,8.22271099450154,0.00574305172382583
cluster10440,s8_000487-RA,ENSCPOP00000018727,0,0.42878,0.512588191598,0.445903808150433,0.340903323098358
cluster10441,s7_000492-RA,ENSCPOP00000019326,CD14,0,1,0,1
cluster10442,s7_002424-RA,ENSCPOP00000014432,SAPCD1,-1.99999999495e-06,1,0.00859181212217663,0.483943638482478
cluster10443,s8_002362-RA,ENSCPOP00000005670,0,28.87996,7.70055177005e-08,56.4457048171057,1.77524661637563e-13
cluster10444,s3_002247-RA,ENSCPOP00000019321,DNLZ,0,1,0,1
cluster10445,s4_000205-RA,ENSCPOP00000016115,SPSB4,0,1,0,1
cluster10446,s4_002004-RA,ENSCPOP00000006567,SLC10A3,0,1,0,1
cluster10447,s10_001789-RA,ENSCPOP00000015989,0,48.67848,3.01557242459e-12,51.1614687323054,2.50116594102678e-12
cluster10449,s10_000168-RA,ENSCPOP00000014081,CCDC173,14.97138,0.000109154202349,11.681566123937,0.000998214468694525
cluster10451,s7_000913-RA,ENSCPOP00000010750,FGL2,0,1,0,1
cluster10452,s3_000154-RA,ENSCPOP00000012351,CHMP4C,0.0646459999998,0.799297962392,0,1
