ORTHOGROUP,CAPYBARA ID,GUINEA PIG ID,RAT ID
OG0005099,s3_000159-RA,ENSCPOP00000019726,ENSRNOP00000014274
OG0005100,s3_000164-RA,ENSCPOP00000018962,ENSRNOP00000064809
OG0005101,s3_000165-RA,ENSCPOP00000001045,ENSRNOP00000071506
OG0005102,s3_000841-RA,ENSCPOP00000011252,ENSRNOP00000074861
OG0005104,s3_000168-RA,ENSCPOP00000007667,ENSRNOP00000015537
OG0005105,s3_000172-RA,ENSCPOP00000008932,ENSRNOP00000016091
OG0005106,s3_000174-RA,ENSCPOP00000009810,ENSRNOP00000016567
OG0005107,s3_000175-RA,ENSCPOP00000015962,ENSRNOP00000011579
OG0005108,s3_000176-RA,ENSCPOP00000011418,ENSRNOP00000011641
OG0005109,s3_000177-RA,ENSCPOP00000010456,ENSRNOP00000070293
OG0005110,s3_000178-RA,ENSCPOP00000002606,ENSRNOP00000024199
OG0005111,s3_000181-RA,ENSCPOP00000002068,ENSRNOP00000007994
OG0005112,s3_000185-RA,ENSCPOP00000008697,ENSRNOP00000008680
OG0005113,s3_000184-RA,ENSCPOP00000013518,ENSRNOP00000060092
OG0005114,s3_000186-RA,ENSCPOP00000000688,ENSRNOP00000009096
OG0005115,s3_000187-RA,ENSCPOP00000016758,ENSRNOP00000009431
OG0005116,s3_000189-RA,ENSCPOP00000009824,ENSRNOP00000009530
OG0005117,s3_000190-RA,ENSCPOP00000008651,ENSRNOP00000043160
OG0005118,s3_000191-RA,ENSCPOP00000000611,ENSRNOP00000050431
OG0005119,s3_000193-RA,ENSCPOP00000010361,ENSRNOP00000009874
OG0005120,s3_000195-RA,ENSCPOP00000004258,ENSRNOP00000009908
OG0005121,s3_000197-RA,ENSCPOP00000006853,ENSRNOP00000010369
OG0005122,s3_000200-RA,ENSCPOP00000000434,ENSRNOP00000011026
OG0005123,s3_000201-RA,ENSCPOP00000015743,ENSRNOP00000032955
OG0005124,s3_000209-RA,ENSCPOP00000010608,ENSRNOP00000008877
OG0005125,s3_000210-RA,ENSCPOP00000004611,ENSRNOP00000061242
OG0005126,s3_000211-RA,ENSCPOP00000020878,ENSRNOP00000069940
OG0005127,s7_002104-RA,ENSCPOP00000006754,ENSRNOP00000064540
OG0005128,s3_000215-RA,ENSCPOP00000009428,ENSRNOP00000009136
OG0005129,s3_000216-RA,ENSCPOP00000006835,ENSRNOP00000062710
OG0005130,s3_000217-RA,ENSCPOP00000006833,ENSRNOP00000032720
OG0005131,s3_000220-RA,ENSCPOP00000000571,ENSRNOP00000009462
OG0005132,s3_000221-RA,ENSCPOP00000021246,ENSRNOP00000016953
OG0005133,s3_000226-RA,ENSCPOP00000003078,ENSRNOP00000017387
OG0005134,s3_000228-RA,ENSCPOP00000013508,ENSRNOP00000040894
OG0005135,s3_000229-RA,ENSCPOP00000001037,ENSRNOP00000018547
OG0005136,s9_001072-RA,ENSCPOP00000004191,ENSRNOP00000038593
OG0005137,s9_001071-RA,ENSCPOP00000002690,ENSRNOP00000060081
OG0005138,s9_001070-RA,ENSCPOP00000011589,ENSRNOP00000009611
OG0005139,s9_001069-RA,ENSCPOP00000006919,ENSRNOP00000009758
OG0005140,s5_000452-RA,ENSCPOP00000009469,ENSRNOP00000012532
OG0005142,s5_000456-RA,ENSCPOP00000009281,ENSRNOP00000017692
OG0005143,s5_000460-RA,ENSCPOP00000007003,ENSRNOP00000017995
OG0005144,s5_000461-RA,ENSCPOP00000006986,ENSRNOP00000018413
OG0005145,s5_000463-RA,ENSCPOP00000011464,ENSRNOP00000019113
OG0005146,s5_000466-RA,ENSCPOP00000011486,ENSRNOP00000066599
OG0005147,s5_000467-RA,ENSCPOP00000008526,ENSRNOP00000036334
OG0005148,s5_000471-RA,ENSCPOP00000016567,ENSRNOP00000021164
OG0005150,s5_000474-RA,ENSCPOP00000006468,ENSRNOP00000020284
OG0005151,s5_000475-RA,ENSCPOP00000006463,ENSRNOP00000020750
OG0005152,s5_000477-RA,ENSCPOP00000019489,ENSRNOP00000021407
OG0005153,s5_000481-RA,ENSCPOP00000000063,ENSRNOP00000021473
OG0005154,s5_000482-RA,ENSCPOP00000000062,ENSRNOP00000021862
OG0005155,s5_000484-RA,ENSCPOP00000009690,ENSRNOP00000035354
OG0005156,s5_000487-RA,ENSCPOP00000017544,ENSRNOP00000023314
OG0005157,s5_000490-RA,ENSCPOP00000000250,ENSRNOP00000041165
OG0005158,s5_000494-RA,ENSCPOP00000019676,ENSRNOP00000024447
OG0005159,s5_000496-RA,ENSCPOP00000000247,ENSRNOP00000035860
OG0005160,s5_000497-RA,ENSCPOP00000000245,ENSRNOP00000016581
OG0005161,s5_000500-RA,ENSCPOP00000006705,ENSRNOP00000024840
OG0005162,s5_000501-RA,ENSCPOP00000016768,ENSRNOP00000025394
OG0005163,s5_000503-RA,ENSCPOP00000002956,ENSRNOP00000032758
OG0005164,s5_000506-RA,ENSCPOP00000002955,ENSRNOP00000025606
OG0005165,s5_000507-RA,ENSCPOP00000003892,ENSRNOP00000025656
OG0005166,s5_000508-RA,ENSCPOP00000002944,ENSRNOP00000040832
OG0005167,s5_000509-RA,ENSCPOP00000002935,ENSRNOP00000025853
OG0005168,s5_000516-RA,ENSCPOP00000014051,ENSRNOP00000026323
OG0005169,s5_000517-RA,ENSCPOP00000014054,ENSRNOP00000071111
OG0005170,s5_000518-RA,ENSCPOP00000019014,ENSRNOP00000026588
OG0005171,s5_000519-RA,ENSCPOP00000003969,ENSRNOP00000026525
OG0005172,s5_000523-RA,ENSCPOP00000003861,ENSRNOP00000057838
OG0005173,s5_000525-RA,ENSCPOP00000006042,ENSRNOP00000010763
OG0005174,s5_000526-RA,ENSCPOP00000006048,ENSRNOP00000010545
OG0005175,s5_000527-RA,ENSCPOP00000019922,ENSRNOP00000010303
OG0005176,s5_000528-RA,ENSCPOP00000006056,ENSRNOP00000010260
OG0005177,s5_000529-RA,ENSCPOP00000013237,ENSRNOP00000057872
OG0005179,s5_000100-RA,ENSCPOP00000001531,ENSRNOP00000012452
OG0005180,s5_000098-RA,ENSCPOP00000011541,ENSRNOP00000034316
OG0005181,s5_000096-RA,ENSCPOP00000020539,ENSRNOP00000030811
OG0005182,s5_000094-RA,ENSCPOP00000002656,ENSRNOP00000010103
OG0005183,s5_000093-RA,ENSCPOP00000005556,ENSRNOP00000009249
OG0005184,s5_000092-RA,ENSCPOP00000001189,ENSRNOP00000016628
OG0005185,s5_000090-RA,ENSCPOP00000004390,ENSRNOP00000053878
OG0005186,s5_000085-RA,ENSCPOP00000010445,ENSRNOP00000014532
OG0005187,s5_000084-RA,ENSCPOP00000011836,ENSRNOP00000014585
OG0005188,s5_000083-RA,ENSCPOP00000011835,ENSRNOP00000014861
OG0005189,s5_000079-RA,ENSCPOP00000012894,ENSRNOP00000017243
OG0005190,s5_000077-RA,ENSCPOP00000013053,ENSRNOP00000035501
OG0005191,s5_000075-RA,ENSCPOP00000005523,ENSRNOP00000072884
OG0005192,s5_000071-RA,ENSCPOP00000012910,ENSRNOP00000013468
OG0005193,s5_000070-RA,ENSCPOP00000003954,ENSRNOP00000013530
OG0005195,s5_000067-RA,ENSCPOP00000016827,ENSRNOP00000007672
OG0005196,s5_000063-RA,ENSCPOP00000013904,ENSRNOP00000008289
OG0005198,s5_000057-RA,ENSCPOP00000002044,ENSRNOP00000010759
OG0005199,s5_000041-RA,ENSCPOP00000014420,ENSRNOP00000006325
OG0005201,s5_000037-RA,ENSCPOP00000007549,ENSRNOP00000018146
OG0005202,s5_000033-RA,ENSCPOP00000003142,ENSRNOP00000026742
OG0005203,s5_000028-RA,ENSCPOP00000016438,ENSRNOP00000057779
OG0005204,s2_002672-RA,ENSCPOP00000007116,ENSRNOP00000039705
OG0005205,s2_002673-RA,ENSCPOP00000007385,ENSRNOP00000021265
OG0005206,s2_002675-RA,ENSCPOP00000001768,ENSRNOP00000021372
OG0005207,s2_002676-RA,ENSCPOP00000001764,ENSRNOP00000021554
OG0005208,s2_002678-RA,ENSCPOP00000005837,ENSRNOP00000022256
OG0005209,s2_002681-RA,ENSCPOP00000000226,ENSRNOP00000022828
OG0005210,s2_002683-RA,ENSCPOP00000000224,ENSRNOP00000022960
OG0005211,s2_002684-RA,ENSCPOP00000000223,ENSRNOP00000022999
OG0005212,s6_000520-RA,ENSCPOP00000006443,ENSRNOP00000015638
OG0005214,s6_000511-RA,ENSCPOP00000002271,ENSRNOP00000016948
OG0005215,s6_000509-RA,ENSCPOP00000002270,ENSRNOP00000017022
OG0005216,s7_002605-RA,ENSCPOP00000001388,ENSRNOP00000012155
OG0005217,s6_001726-RA,ENSCPOP00000019804,ENSRNOP00000059786
OG0005218,s6_001724-RA,ENSCPOP00000011392,ENSRNOP00000018756
OG0005219,s6_001723-RA,ENSCPOP00000006557,ENSRNOP00000059152
OG0005220,s6_001720-RA,ENSCPOP00000015362,ENSRNOP00000009368
OG0005221,s6_001719-RA,ENSCPOP00000011590,ENSRNOP00000008971
OG0005222,s10_001667-RA,ENSCPOP00000018773,ENSRNOP00000037789
OG0005223,s7_000560-RA,ENSCPOP00000003864,ENSRNOP00000035365
OG0005224,s7_000556-RA,ENSCPOP00000013188,ENSRNOP00000069118
OG0005225,s7_000554-RA,ENSCPOP00000006398,ENSRNOP00000027771
OG0005226,s7_000553-RA,ENSCPOP00000007517,ENSRNOP00000027755
OG0005227,s7_000552-RA,ENSCPOP00000002495,ENSRNOP00000027739
OG0005229,s7_000547-RA,ENSCPOP00000013012,ENSRNOP00000027663
OG0005230,s7_000546-RA,ENSCPOP00000000415,ENSRNOP00000059050
OG0005231,s7_000545-RA,ENSCPOP00000007462,ENSRNOP00000027244
OG0005232,s7_000542-RA,ENSCPOP00000007471,ENSRNOP00000037441
OG0005233,s9_001403-RA,ENSCPOP00000016356,ENSRNOP00000033053
OG0005234,s6_002170-RA,ENSCPOP00000014388,ENSRNOP00000008805
OG0005236,s7_000579-RA,ENSCPOP00000012664,ENSRNOP00000026010
OG0005237,s7_000582-RA,ENSCPOP00000016439,ENSRNOP00000066746
OG0005238,s7_000585-RA,ENSCPOP00000009472,ENSRNOP00000017165
OG0005239,s7_000590-RA,ENSCPOP00000009200,ENSRNOP00000015185
OG0005240,s7_000591-RA,ENSCPOP00000007278,ENSRNOP00000035042
OG0005241,s7_000592-RA,ENSCPOP00000014353,ENSRNOP00000016372
OG0005242,s7_000593-RA,ENSCPOP00000003267,ENSRNOP00000016838
OG0005243,s7_000595-RA,ENSCPOP00000003265,ENSRNOP00000017068
OG0005244,s7_000596-RA,ENSCPOP00000003263,ENSRNOP00000017098
OG0005245,s7_000597-RA,ENSCPOP00000020264,ENSRNOP00000037898
OG0005246,s7_000598-RA,ENSCPOP00000012386,ENSRNOP00000029855
OG0005247,s7_000599-RA,ENSCPOP00000012376,ENSRNOP00000058722
OG0005248,s7_000601-RA,ENSCPOP00000004795,ENSRNOP00000032467
OG0005249,s7_000603-RA,ENSCPOP00000004512,ENSRNOP00000018457
OG0005251,s7_000604-RA,ENSCPOP00000018338,ENSRNOP00000076140
OG0005252,s7_000616-RA,ENSCPOP00000007055,ENSRNOP00000021818
OG0005253,s7_000617-RA,ENSCPOP00000007051,ENSRNOP00000021804
OG0005254,s7_000618-RA,ENSCPOP00000007049,ENSRNOP00000021756
OG0005255,s7_000623-RA,ENSCPOP00000003262,ENSRNOP00000049795
OG0005256,s7_000624-RA,ENSCPOP00000007107,ENSRNOP00000039039
OG0005257,s7_000626-RA,ENSCPOP00000007096,ENSRNOP00000047300
OG0005258,s7_000638-RA,ENSCPOP00000010010,ENSRNOP00000050073
OG0005259,s7_000639-RA,ENSCPOP00000017216,ENSRNOP00000022348
OG0005260,s7_000641-RA,ENSCPOP00000008724,ENSRNOP00000075534
OG0005261,s7_000642-RA,ENSCPOP00000003565,ENSRNOP00000073298
OG0005262,s7_000645-RA,ENSCPOP00000010001,ENSRNOP00000018449
OG0005263,s7_000647-RA,ENSCPOP00000015733,ENSRNOP00000018259
OG0005264,s7_000648-RA,ENSCPOP00000015020,ENSRNOP00000058526
OG0005265,s7_000652-RA,ENSCPOP00000005401,ENSRNOP00000017408
OG0005266,s7_000653-RA,ENSCPOP00000005467,ENSRNOP00000060697
OG0005267,s7_000654-RA,ENSCPOP00000014947,ENSRNOP00000003841
OG0005269,s7_000662-RA,ENSCPOP00000013229,ENSRNOP00000074044
OG0005270,s7_000664-RA,ENSCPOP00000014841,ENSRNOP00000062069
OG0005271,s7_000670-RA,ENSCPOP00000014541,ENSRNOP00000037309
OG0005272,s7_000673-RA,ENSCPOP00000018548,ENSRNOP00000008798
OG0005273,s7_000685-RA,ENSCPOP00000007165,ENSRNOP00000050244
OG0005275,s2_002870-RA,ENSCPOP00000016931,ENSRNOP00000024937
OG0005276,s2_002777-RA,ENSCPOP00000012888,ENSRNOP00000049077
OG0005277,s2_002274-RA,ENSCPOP00000014633,ENSRNOP00000003823
OG0005278,s2_002277-RA,ENSCPOP00000012416,ENSRNOP00000003720
OG0005279,s2_002279-RA,ENSCPOP00000020689,ENSRNOP00000003686
OG0005280,s2_002280-RA,ENSCPOP00000020162,ENSRNOP00000003472
OG0005281,s2_002282-RA,ENSCPOP00000018449,ENSRNOP00000003470
OG0005282,s2_002283-RA,ENSCPOP00000019847,ENSRNOP00000071541
OG0005283,s9_001032-RA,ENSCPOP00000005698,ENSRNOP00000051600
OG0005284,s9_001031-RA,ENSCPOP00000011394,ENSRNOP00000019014
OG0005285,s9_001030-RA,ENSCPOP00000002155,ENSRNOP00000051355
OG0005286,s9_001024-RA,ENSCPOP00000020664,ENSRNOP00000064785
OG0005287,s9_001021-RA,ENSCPOP00000003801,ENSRNOP00000063945
OG0005288,s9_001020-RA,ENSCPOP00000006169,ENSRNOP00000065690
OG0005289,s9_001018-RA,ENSCPOP00000006045,ENSRNOP00000066326
OG0005290,s9_001017-RA,ENSCPOP00000006050,ENSRNOP00000065140
OG0005291,s9_001016-RA,ENSCPOP00000006063,ENSRNOP00000018485
OG0005292,s9_001015-RA,ENSCPOP00000006064,ENSRNOP00000018890
OG0005293,s9_001012-RA,ENSCPOP00000004105,ENSRNOP00000047674
OG0005294,s9_001011-RA,ENSCPOP00000017451,ENSRNOP00000032408
OG0005295,s9_001010-RA,ENSCPOP00000004108,ENSRNOP00000019874
OG0005296,s9_001009-RA,ENSCPOP00000020396,ENSRNOP00000019978
OG0005297,s9_001006-RA,ENSCPOP00000020610,ENSRNOP00000020182
OG0005298,s9_001005-RA,ENSCPOP00000004616,ENSRNOP00000020390
OG0005299,s9_001002-RA,ENSCPOP00000006322,ENSRNOP00000021144
OG0005300,s9_001001-RA,ENSCPOP00000006330,ENSRNOP00000021257
OG0005301,s9_001000-RA,ENSCPOP00000006340,ENSRNOP00000070459
OG0005302,s10_001986-RA,ENSCPOP00000007750,ENSRNOP00000021876
OG0005303,s10_001985-RA,ENSCPOP00000007755,ENSRNOP00000022309
OG0005304,s10_001983-RA,ENSCPOP00000008774,ENSRNOP00000051598
OG0005305,s10_001982-RA,ENSCPOP00000008779,ENSRNOP00000022633
OG0005306,s10_001979-RA,ENSCPOP00000008783,ENSRNOP00000023215
OG0005307,s10_001978-RA,ENSCPOP00000009833,ENSRNOP00000064799
OG0005308,s10_001977-RA,ENSCPOP00000005359,ENSRNOP00000064242
OG0005309,s10_001976-RA,ENSCPOP00000000166,ENSRNOP00000018221
OG0005310,s10_001975-RA,ENSCPOP00000019884,ENSRNOP00000017840
OG0005311,s10_001974-RA,ENSCPOP00000015663,ENSRNOP00000017268
OG0005312,s10_001973-RA,ENSCPOP00000020267,ENSRNOP00000034134
OG0005313,s10_001972-RA,ENSCPOP00000009782,ENSRNOP00000017202
OG0005314,s10_001970-RA,ENSCPOP00000009799,ENSRNOP00000062794
OG0005315,s3_000801-RA,ENSCPOP00000012760,ENSRNOP00000071227
OG0005316,s10_001967-RA,ENSCPOP00000010362,ENSRNOP00000035554
OG0005317,s10_001966-RA,ENSCPOP00000003648,ENSRNOP00000016883
OG0005318,s4_000378-RA,ENSCPOP00000020726,ENSRNOP00000036253
OG0005319,s4_000377-RA,ENSCPOP00000016548,ENSRNOP00000064135
OG0005320,s4_000376-RA,ENSCPOP00000021189,ENSRNOP00000025611
OG0005321,s4_000375-RA,ENSCPOP00000018777,ENSRNOP00000025609
OG0005322,s4_000374-RA,ENSCPOP00000010909,ENSRNOP00000025574
OG0005323,s4_000367-RA,ENSCPOP00000018988,ENSRNOP00000067831
OG0005324,s4_000366-RA,ENSCPOP00000007451,ENSRNOP00000045081
OG0005325,s4_000365-RA,ENSCPOP00000007441,ENSRNOP00000024573
OG0005326,s4_000364-RA,ENSCPOP00000014025,ENSRNOP00000024369
OG0005327,s4_000362-RA,ENSCPOP00000016248,ENSRNOP00000061292
OG0005328,s4_000361-RA,ENSCPOP00000020746,ENSRNOP00000066594
OG0005329,s4_000359-RA,ENSCPOP00000017589,ENSRNOP00000030254
OG0005330,s4_000358-RA,ENSCPOP00000003949,ENSRNOP00000073055
OG0005331,s4_000356-RA,ENSCPOP00000007648,ENSRNOP00000031025
OG0005332,s4_000354-RA,ENSCPOP00000001797,ENSRNOP00000051770
OG0005333,s4_000353-RA,ENSCPOP00000016824,ENSRNOP00000051771
OG0005334,s4_000351-RA,ENSCPOP00000017319,ENSRNOP00000023619
OG0005335,s4_000348-RA,ENSCPOP00000002995,ENSRNOP00000009178
OG0005336,s4_000347-RA,ENSCPOP00000013475,ENSRNOP00000029334
OG0005337,s4_000345-RA,ENSCPOP00000005307,ENSRNOP00000023477
OG0005338,s4_000335-RA,ENSCPOP00000003825,ENSRNOP00000021537
OG0005339,s4_000333-RA,ENSCPOP00000012745,ENSRNOP00000038727
OG0005340,s4_000332-RA,ENSCPOP00000012738,ENSRNOP00000021359
OG0005341,s4_000330-RA,ENSCPOP00000010606,ENSRNOP00000025569
OG0005342,s4_000327-RA,ENSCPOP00000013978,ENSRNOP00000042541
OG0005343,s4_000321-RA,ENSCPOP00000005801,ENSRNOP00000024355
OG0005344,s4_000320-RA,ENSCPOP00000004349,ENSRNOP00000024278
OG0005345,s4_000319-RA,ENSCPOP00000004348,ENSRNOP00000023946
OG0005346,s4_000314-RA,ENSCPOP00000007544,ENSRNOP00000023257
OG0005347,s4_000312-RA,ENSCPOP00000004803,ENSRNOP00000023121
OG0005348,s4_000308-RA,ENSCPOP00000004800,ENSRNOP00000022971
OG0005349,s4_000306-RA,ENSCPOP00000009287,ENSRNOP00000022628
OG0005350,s4_000302-RA,ENSCPOP00000008425,ENSRNOP00000042501
OG0005351,s4_000301-RA,ENSCPOP00000005679,ENSRNOP00000067319
OG0005352,s4_000300-RA,ENSCPOP00000010757,ENSRNOP00000068979
OG0005353,s4_000299-RA,ENSCPOP00000010752,ENSRNOP00000028011
OG0005354,s4_000295-RA,ENSCPOP00000011441,ENSRNOP00000027967
OG0005355,s4_000291-RA,ENSCPOP00000003296,ENSRNOP00000045430
OG0005356,s3_000614-RA,ENSCPOP00000000550,ENSRNOP00000027721
OG0005358,s3_000608-RA,ENSCPOP00000012875,ENSRNOP00000027704
OG0005359,s3_000606-RA,ENSCPOP00000004284,ENSRNOP00000027665
OG0005360,s3_000605-RA,ENSCPOP00000008109,ENSRNOP00000027644
OG0005361,s3_000604-RA,ENSCPOP00000008100,ENSRNOP00000027630
OG0005362,s3_000603-RA,ENSCPOP00000006809,ENSRNOP00000027616
OG0005363,s3_000600-RA,ENSCPOP00000003901,ENSRNOP00000027375
OG0005364,s3_000597-RA,ENSCPOP00000006718,ENSRNOP00000015186
OG0005365,s3_000596-RA,ENSCPOP00000013692,ENSRNOP00000013845
OG0005366,s3_000595-RA,ENSCPOP00000013690,ENSRNOP00000063484
OG0005367,s3_000594-RA,ENSCPOP00000018330,ENSRNOP00000033820
OG0005369,s3_000590-RA,ENSCPOP00000000402,ENSRNOP00000012734
OG0005370,s3_000589-RA,ENSCPOP00000002980,ENSRNOP00000012564
OG0005371,s3_000588-RA,ENSCPOP00000003248,ENSRNOP00000063181
OG0005372,s3_000587-RA,ENSCPOP00000003246,ENSRNOP00000011983
OG0005373,s3_000585-RA,ENSCPOP00000000475,ENSRNOP00000011743
OG0005374,s3_000583-RA,ENSCPOP00000009866,ENSRNOP00000063070
OG0005375,s3_000582-RA,ENSCPOP00000002793,ENSRNOP00000024548
OG0005376,s3_000581-RA,ENSCPOP00000002792,ENSRNOP00000035488
OG0005377,s3_000577-RA,ENSCPOP00000012083,ENSRNOP00000024065
OG0005379,s7_001032-RA,ENSCPOP00000010649,ENSRNOP00000056503
OG0005380,s7_001030-RA,ENSCPOP00000013951,ENSRNOP00000061172
OG0005381,s7_001029-RA,ENSCPOP00000005260,ENSRNOP00000043782
OG0005382,s7_001027-RA,ENSCPOP00000004031,ENSRNOP00000050426
OG0005385,s8_001168-RA,ENSCPOP00000004728,ENSRNOP00000017822
OG0005386,s8_001163-RA,ENSCPOP00000001574,ENSRNOP00000016193
OG0005387,s8_001161-RA,ENSCPOP00000001582,ENSRNOP00000015800
OG0005388,s8_001160-RA,ENSCPOP00000016013,ENSRNOP00000019222
OG0005389,s8_001159-RA,ENSCPOP00000001557,ENSRNOP00000018725
OG0005390,s8_001154-RA,ENSCPOP00000013205,ENSRNOP00000017723
OG0005391,s8_001152-RA,ENSCPOP00000002971,ENSRNOP00000016209
OG0005392,s8_001151-RA,ENSCPOP00000001522,ENSRNOP00000015969
OG0005393,s8_001149-RA,ENSCPOP00000002981,ENSRNOP00000015104
OG0005394,s8_001148-RA,ENSCPOP00000020670,ENSRNOP00000015032
OG0005395,s8_001145-RA,ENSCPOP00000003319,ENSRNOP00000013390
OG0005396,s8_001144-RA,ENSCPOP00000001003,ENSRNOP00000013284
OG0005397,s8_001141-RA,ENSCPOP00000001007,ENSRNOP00000013066
OG0005398,s8_001135-RA,ENSCPOP00000001010,ENSRNOP00000012056
OG0005399,s8_001133-RA,ENSCPOP00000018094,ENSRNOP00000011663
OG0005400,s8_001130-RA,ENSCPOP00000014082,ENSRNOP00000024066
OG0005401,s8_001129-RA,ENSCPOP00000014057,ENSRNOP00000023872
