ORTHOGROUPS,CAPYBARA ID,GUINEA PIG ID
OG0001847,s3_000190-RA,ENSCPOP00000008651
OG0001848,s3_000191-RA,ENSCPOP00000000611
OG0001849,s3_000193-RA,ENSCPOP00000010361
OG0001850,s3_000195-RA,ENSCPOP00000004258
OG0001851,s3_000197-RA,ENSCPOP00000006853
OG0001852,s3_000200-RA,ENSCPOP00000000434
OG0001853,s3_000201-RA,ENSCPOP00000015743
OG0001854,s3_000203-RA,ENSCPOP00000000156
OG0001855,s3_000204-RA,ENSCPOP00000002552
OG0001856,s3_000209-RA,ENSCPOP00000010608
OG0001857,s3_000210-RA,ENSCPOP00000004611
OG0001858,s3_000211-RA,ENSCPOP00000020878
OG0001859,s7_002104-RA,ENSCPOP00000006754
OG0001860,s3_000215-RA,ENSCPOP00000009428
OG0001861,s3_000217-RA,ENSCPOP00000006833
OG0001862,s3_000220-RA,ENSCPOP00000000571
OG0001863,s3_000221-RA,ENSCPOP00000021246
OG0001864,s3_000226-RA,ENSCPOP00000003078
OG0001865,s3_000228-RA,ENSCPOP00000013508
OG0001866,s3_000229-RA,ENSCPOP00000001037
OG0001867,s9_001073-RA,ENSCPOP00000004193
OG0001868,s9_001072-RA,ENSCPOP00000004191
OG0001869,s9_001071-RA,ENSCPOP00000002690
OG0001870,s9_001070-RA,ENSCPOP00000011589
OG0001871,s9_001069-RA,ENSCPOP00000006919
OG0001872,s5_000452-RA,ENSCPOP00000009469
OG0001873,s5_000456-RA,ENSCPOP00000009281
OG0001874,s5_000457-RA,ENSCPOP00000001461
OG0001875,s5_000458-RA,ENSCPOP00000007008
OG0001876,s5_000460-RA,ENSCPOP00000007003
OG0001877,s5_000461-RA,ENSCPOP00000006986
OG0001878,s5_000463-RA,ENSCPOP00000011464
OG0001879,s5_000464-RA,ENSCPOP00000008606
OG0001880,s5_000465-RA,ENSCPOP00000000754
OG0001881,s5_000466-RA,ENSCPOP00000011486
OG0001882,s5_000467-RA,ENSCPOP00000008526
OG0001883,s5_000471-RA,ENSCPOP00000016567
OG0001884,s5_000474-RA,ENSCPOP00000006468
OG0001885,s5_000475-RA,ENSCPOP00000006463
OG0001886,s5_000476-RA,ENSCPOP00000013468
OG0001887,s5_000477-RA,ENSCPOP00000019489
OG0001888,s5_000481-RA,ENSCPOP00000000063
OG0001889,s5_000482-RA,ENSCPOP00000000062
OG0001890,s5_000483-RA,ENSCPOP00000010390
OG0001891,s5_000484-RA,ENSCPOP00000009690
OG0001892,s5_000485-RA,ENSCPOP00000007714
OG0001893,s5_000487-RA,ENSCPOP00000017544
OG0001894,s5_000488-RA,ENSCPOP00000000252
OG0001895,s5_000491-RA,ENSCPOP00000000249
OG0001896,s5_000494-RA,ENSCPOP00000019676
OG0001897,s5_000495-RA,ENSCPOP00000000248
OG0001898,s5_000496-RA,ENSCPOP00000000247
OG0001899,s5_000497-RA,ENSCPOP00000000245
OG0001900,s5_000503-RA,ENSCPOP00000002956
OG0001901,s5_000506-RA,ENSCPOP00000002955
OG0001902,s5_000509-RA,ENSCPOP00000002935
OG0001903,s5_000516-RA,ENSCPOP00000014051
OG0001904,s5_000517-RA,ENSCPOP00000014054
OG0001905,s5_000518-RA,ENSCPOP00000019014
OG0001906,s5_000519-RA,ENSCPOP00000003969
OG0001907,s5_000522-RA,ENSCPOP00000001423
OG0001908,s5_000523-RA,ENSCPOP00000003861
OG0001909,s5_000525-RA,ENSCPOP00000006042
OG0001910,s5_000526-RA,ENSCPOP00000006048
OG0001911,s5_000527-RA,ENSCPOP00000019922
OG0001912,s5_000529-RA,ENSCPOP00000013237
OG0001913,s5_000530-RA,ENSCPOP00000013234
OG0001914,s5_000531-RA,ENSCPOP00000009492
OG0001915,s9_000731-RA,ENSCPOP00000013449
OG0001916,s5_000100-RA,ENSCPOP00000001531
OG0001917,s5_000099-RA,ENSCPOP00000011537
OG0001918,s5_000098-RA,ENSCPOP00000011541
OG0001919,s5_000097-RA,ENSCPOP00000016540
OG0001920,s5_000096-RA,ENSCPOP00000020539
OG0001921,s5_000095-RA,ENSCPOP00000007139
OG0001922,s5_000094-RA,ENSCPOP00000002656
OG0001923,s5_000093-RA,ENSCPOP00000005556
OG0001924,s5_000092-RA,ENSCPOP00000001189
OG0001925,s5_000088-RA,ENSCPOP00000001966
OG0001926,s2_000827-RA,ENSCPOP00000012210
OG0001927,s5_000087-RA,ENSCPOP00000019190
OG0001928,s5_000084-RA,ENSCPOP00000011836
OG0001929,s5_000083-RA,ENSCPOP00000011835
OG0001930,s5_000079-RA,ENSCPOP00000012894
OG0001931,s5_000077-RA,ENSCPOP00000013053
OG0001932,s5_000075-RA,ENSCPOP00000005523
OG0001933,s5_000074-RA,ENSCPOP00000012911
OG0001934,s5_000071-RA,ENSCPOP00000012910
OG0001935,s5_000070-RA,ENSCPOP00000003954
OG0001936,s5_000068-RA,ENSCPOP00000004006
OG0001937,s5_000067-RA,ENSCPOP00000016827
OG0001938,s5_000064-RA,ENSCPOP00000019261
OG0001939,s5_000063-RA,ENSCPOP00000013904
OG0001940,s5_000058-RA,ENSCPOP00000004124
OG0001941,s5_000057-RA,ENSCPOP00000002044
OG0001942,s10_001912-RA,ENSCPOP00000007469
OG0001943,s5_000041-RA,ENSCPOP00000014420
OG0001944,s5_000039-RA,ENSCPOP00000001745
OG0001945,s5_000037-RA,ENSCPOP00000007549
OG0001946,s5_000036-RA,ENSCPOP00000006874
OG0001947,s5_000035-RA,ENSCPOP00000006863
OG0001948,s5_000034-RA,ENSCPOP00000018367
OG0001949,s5_000033-RA,ENSCPOP00000003142
OG0001950,s5_000028-RA,ENSCPOP00000016438
OG0001951,s2_002672-RA,ENSCPOP00000007116
OG0001952,s2_002673-RA,ENSCPOP00000007385
OG0001953,s2_002675-RA,ENSCPOP00000001768
OG0001954,s2_002676-RA,ENSCPOP00000001764
OG0001955,s2_002677-RA,ENSCPOP00000005838
OG0001956,s2_002678-RA,ENSCPOP00000005837
OG0001957,s2_002681-RA,ENSCPOP00000000226
OG0001958,s2_002682-RA,ENSCPOP00000000225
OG0001959,s2_002683-RA,ENSCPOP00000000224
OG0001960,s2_002684-RA,ENSCPOP00000000223
OG0001961,s6_000520-RA,ENSCPOP00000006443
OG0001962,s6_000519-RA,ENSCPOP00000018838
OG0001963,s6_000512-RA,ENSCPOP00000002272
OG0001964,s6_000511-RA,ENSCPOP00000002271
OG0001965,s6_000509-RA,ENSCPOP00000002270
OG0001966,s6_000506-RA,ENSCPOP00000013934
OG0001967,s7_002605-RA,ENSCPOP00000001388
OG0001968,s6_001727-RA,ENSCPOP00000000866
OG0001969,s6_001726-RA,ENSCPOP00000019804
OG0001970,s6_001721-RA,ENSCPOP00000006561
OG0001971,s6_001720-RA,ENSCPOP00000015362
OG0001972,s6_001719-RA,ENSCPOP00000011590
OG0001973,s6_001716-RA,ENSCPOP00000007927
OG0001974,s3_000271-RA,ENSCPOP00000012916
OG0001975,s10_001667-RA,ENSCPOP00000018773
OG0001976,s7_000561-RA,ENSCPOP00000013150
OG0001977,s7_000560-RA,ENSCPOP00000003864
OG0001978,s7_000556-RA,ENSCPOP00000013188
OG0001979,s7_000555-RA,ENSCPOP00000013190
OG0001980,s7_000554-RA,ENSCPOP00000006398
OG0001981,s7_000553-RA,ENSCPOP00000007517
OG0001982,s7_000552-RA,ENSCPOP00000002495
OG0001983,s7_000550-RA,ENSCPOP00000001434
OG0001984,s7_000547-RA,ENSCPOP00000013012
OG0001985,s7_000546-RA,ENSCPOP00000000415
OG0001986,s7_000545-RA,ENSCPOP00000007462
OG0001987,s7_000543-RA,ENSCPOP00000007465
OG0001988,s7_000542-RA,ENSCPOP00000007471
OG0001989,s9_001403-RA,ENSCPOP00000016356
OG0001990,s3_002652-RA,ENSCPOP00000017529
OG0001991,s3_002655-RA,ENSCPOP00000013117
OG0001992,s6_002163-RA,ENSCPOP00000021069
OG0001993,s6_002170-RA,ENSCPOP00000014388
OG0001994,s7_000686-RA,ENSCPOP00000016625
OG0001995,s7_000579-RA,ENSCPOP00000012664
OG0001996,s7_000580-RA,ENSCPOP00000020640
OG0001997,s7_000582-RA,ENSCPOP00000016439
OG0001998,s7_000585-RA,ENSCPOP00000009472
OG0001999,s7_000587-RA,ENSCPOP00000012061
OG0002000,s7_000588-RA,ENSCPOP00000012040
OG0002001,s7_000589-RA,ENSCPOP00000005880
OG0002002,s7_000590-RA,ENSCPOP00000009200
OG0002003,s7_000591-RA,ENSCPOP00000007278
OG0002004,s7_000592-RA,ENSCPOP00000014353
OG0002005,s7_000593-RA,ENSCPOP00000003267
OG0002006,s7_000595-RA,ENSCPOP00000003265
OG0002007,s7_000596-RA,ENSCPOP00000003263
OG0002008,s7_000597-RA,ENSCPOP00000020264
OG0002009,s7_000598-RA,ENSCPOP00000012386
OG0002010,s7_000599-RA,ENSCPOP00000012376
OG0002011,s7_000601-RA,ENSCPOP00000004795
OG0002012,s7_000603-RA,ENSCPOP00000004512
OG0002013,s7_000604-RA,ENSCPOP00000018338
OG0002014,s7_000609-RA,ENSCPOP00000002496
OG0002015,s7_000611-RA,ENSCPOP00000003616
OG0002016,s7_000616-RA,ENSCPOP00000007055
OG0002017,s7_000617-RA,ENSCPOP00000007051
OG0002018,s7_000618-RA,ENSCPOP00000007049
OG0002019,s7_000619-RA,ENSCPOP00000015633
OG0002020,s7_000623-RA,ENSCPOP00000003262
OG0002021,s7_000624-RA,ENSCPOP00000007107
OG0002022,s7_000626-RA,ENSCPOP00000007096
OG0002023,s7_000629-RA,ENSCPOP00000019343
OG0002024,s7_000631-RA,ENSCPOP00000010506
OG0002025,s7_000633-RA,ENSCPOP00000019567
OG0002026,s7_000638-RA,ENSCPOP00000010010
OG0002027,s7_000639-RA,ENSCPOP00000017216
OG0002028,s7_000641-RA,ENSCPOP00000008724
OG0002029,s7_000642-RA,ENSCPOP00000003565
OG0002030,s7_000645-RA,ENSCPOP00000010001
OG0002031,s7_000647-RA,ENSCPOP00000015733
OG0002032,s7_000648-RA,ENSCPOP00000015020
OG0002033,s7_000651-RA,ENSCPOP00000007509
OG0002034,s7_000652-RA,ENSCPOP00000005401
OG0002035,s7_000653-RA,ENSCPOP00000005467
OG0002036,s7_000654-RA,ENSCPOP00000014947
OG0002037,s7_000655-RA,ENSCPOP00000006589
OG0002038,s7_000659-RA,ENSCPOP00000020379
OG0002039,s7_000660-RA,ENSCPOP00000017576
OG0002040,s7_000662-RA,ENSCPOP00000013229
OG0002041,s7_000663-RA,ENSCPOP00000014562
OG0002042,s7_000667-RA,ENSCPOP00000016132
OG0002043,s7_000670-RA,ENSCPOP00000014541
OG0002044,s7_000672-RA,ENSCPOP00000014644
OG0002045,s7_000673-RA,ENSCPOP00000018548
OG0002046,s7_000685-RA,ENSCPOP00000007165
OG0002047,s7_000687-RA,ENSCPOP00000005751
OG0002048,s9_001812-RA,ENSCPOP00000012081
OG0002049,s6_002175-RA,ENSCPOP00000005317
OG0002050,s2_002870-RA,ENSCPOP00000016931
OG0002051,s2_002777-RA,ENSCPOP00000012888
OG0002052,s2_002273-RA,ENSCPOP00000009984
OG0002053,s2_002274-RA,ENSCPOP00000014633
OG0002054,s2_002277-RA,ENSCPOP00000012416
OG0002055,s2_002278-RA,ENSCPOP00000000605
OG0002056,s2_002279-RA,ENSCPOP00000020689
OG0002057,s2_002280-RA,ENSCPOP00000020162
OG0002058,s2_002282-RA,ENSCPOP00000018449
OG0002059,s2_002283-RA,ENSCPOP00000019847
OG0002060,s9_001041-RA,ENSCPOP00000002620
OG0002061,s9_001040-RA,ENSCPOP00000000155
OG0002062,s9_001039-RA,ENSCPOP00000016565
OG0002063,s9_001037-RA,ENSCPOP00000010986
OG0002064,s9_001035-RA,ENSCPOP00000006226
OG0002065,s9_001033-RA,ENSCPOP00000001332
OG0002066,s9_001032-RA,ENSCPOP00000005698
OG0002067,s9_001031-RA,ENSCPOP00000011394
OG0002068,s9_001030-RA,ENSCPOP00000002155
OG0002069,s9_001028-RA,ENSCPOP00000002107
OG0002070,s9_001027-RA,ENSCPOP00000005176
OG0002071,s9_001024-RA,ENSCPOP00000020664
OG0002072,s9_001023-RA,ENSCPOP00000020775
OG0002073,s9_001021-RA,ENSCPOP00000003801
OG0002074,s9_001020-RA,ENSCPOP00000006169
OG0002075,s9_001019-RA,ENSCPOP00000001058
OG0002076,s9_001018-RA,ENSCPOP00000006045
OG0002077,s9_001017-RA,ENSCPOP00000006050
OG0002078,s9_001016-RA,ENSCPOP00000006063
OG0002079,s9_001015-RA,ENSCPOP00000006064
OG0002080,s9_001012-RA,ENSCPOP00000004105
OG0002081,s9_001011-RA,ENSCPOP00000017451
OG0002082,s9_001009-RA,ENSCPOP00000020396
OG0002083,s9_001008-RA,ENSCPOP00000015864
OG0002084,s9_001007-RA,ENSCPOP00000011958
OG0002085,s9_001006-RA,ENSCPOP00000020610
OG0002086,s9_001005-RA,ENSCPOP00000004616
OG0002087,s9_001004-RA,ENSCPOP00000007053
OG0002088,s9_001003-RA,ENSCPOP00000006316
OG0002089,s9_001002-RA,ENSCPOP00000006322
OG0002090,s9_001001-RA,ENSCPOP00000006330
OG0002091,s9_001000-RA,ENSCPOP00000006340
OG0002092,s10_001986-RA,ENSCPOP00000007750
OG0002093,s10_001985-RA,ENSCPOP00000007755
OG0002094,s10_001983-RA,ENSCPOP00000008774
OG0002095,s10_001982-RA,ENSCPOP00000008779
OG0002096,s10_001980-RA,ENSCPOP00000008781
OG0002097,s10_001979-RA,ENSCPOP00000008783
OG0002098,s10_001978-RA,ENSCPOP00000009833
OG0002099,s10_001977-RA,ENSCPOP00000005359
OG0002100,s10_001976-RA,ENSCPOP00000000166
OG0002101,s10_001975-RA,ENSCPOP00000019884
OG0002102,s10_001974-RA,ENSCPOP00000015663
OG0002103,s10_001972-RA,ENSCPOP00000009782
OG0002104,s10_001970-RA,ENSCPOP00000009799
OG0002105,s10_001969-RA,ENSCPOP00000009812
OG0002106,s3_000801-RA,ENSCPOP00000012760
OG0002107,s10_001967-RA,ENSCPOP00000010362
OG0002108,s10_001966-RA,ENSCPOP00000003648
OG0002109,s4_000379-RA,ENSCPOP00000017811
OG0002110,s4_000378-RA,ENSCPOP00000020726
OG0002111,s4_000377-RA,ENSCPOP00000016548
OG0002112,s4_000376-RA,ENSCPOP00000021189
OG0002113,s4_000375-RA,ENSCPOP00000018777
OG0002114,s4_000374-RA,ENSCPOP00000010909
OG0002115,s4_000372-RA,ENSCPOP00000010900
OG0002116,s4_000371-RA,ENSCPOP00000010906
OG0002117,s4_000370-RA,ENSCPOP00000017590
OG0002118,s4_000368-RA,ENSCPOP00000010897
OG0002119,s4_000367-RA,ENSCPOP00000018988
OG0002120,s4_000366-RA,ENSCPOP00000007451
OG0002121,s4_000365-RA,ENSCPOP00000007441
OG0002122,s4_000364-RA,ENSCPOP00000014025
OG0002123,s4_000362-RA,ENSCPOP00000016248
OG0002124,s4_000361-RA,ENSCPOP00000020746
OG0002125,s4_000359-RA,ENSCPOP00000017589
OG0002126,s4_000358-RA,ENSCPOP00000003949
OG0002127,s4_000356-RA,ENSCPOP00000007648
OG0002128,s4_000354-RA,ENSCPOP00000001797
OG0002129,s4_000353-RA,ENSCPOP00000016824
OG0002130,s4_000351-RA,ENSCPOP00000017319
OG0002131,s4_000349-RA,ENSCPOP00000002999
OG0002132,s4_000348-RA,ENSCPOP00000002995
OG0002133,s4_000345-RA,ENSCPOP00000005307
OG0002134,s4_000339-RA,ENSCPOP00000002566
OG0002135,s4_000335-RA,ENSCPOP00000003825
OG0002136,s4_000333-RA,ENSCPOP00000012745
OG0002137,s4_000332-RA,ENSCPOP00000012738
OG0002138,s4_000331-RA,ENSCPOP00000012737
OG0002139,s4_000330-RA,ENSCPOP00000010606
OG0002140,s4_000327-RA,ENSCPOP00000013978
OG0002141,s4_000325-RA,ENSCPOP00000009988
OG0002142,s4_000321-RA,ENSCPOP00000005801
OG0002143,s4_000320-RA,ENSCPOP00000004349
OG0002144,s4_000319-RA,ENSCPOP00000004348
OG0002145,s4_000318-RA,ENSCPOP00000004342
OG0002146,s4_000317-RA,ENSCPOP00000004335
OG0002147,s4_000314-RA,ENSCPOP00000007544
OG0002148,s4_000312-RA,ENSCPOP00000004803
OG0002149,s4_000310-RA,ENSCPOP00000004802
OG0002150,s4_000308-RA,ENSCPOP00000004800
OG0002151,s4_000306-RA,ENSCPOP00000009287
OG0002152,s4_000303-RA,ENSCPOP00000009974
OG0002153,s4_000302-RA,ENSCPOP00000008425
OG0002154,s4_000301-RA,ENSCPOP00000005679
OG0002155,s4_000300-RA,ENSCPOP00000010757
OG0002156,s4_000299-RA,ENSCPOP00000010752
OG0002157,s4_000296-RA,ENSCPOP00000020542
OG0002158,s4_000295-RA,ENSCPOP00000011441
OG0002159,s4_000294-RA,ENSCPOP00000006014
OG0002160,s4_000292-RA,ENSCPOP00000019415
OG0002161,s4_000291-RA,ENSCPOP00000003296
OG0002162,s4_000287-RA,ENSCPOP00000001148
OG0002163,s3_000617-RA,ENSCPOP00000000556
OG0002164,s3_000615-RA,ENSCPOP00000000551
OG0002165,s3_000614-RA,ENSCPOP00000000550
OG0002166,s3_000613-RA,ENSCPOP00000017824
OG0002167,s3_000612-RA,ENSCPOP00000019906
OG0002168,s3_000608-RA,ENSCPOP00000012875
OG0002169,s3_000605-RA,ENSCPOP00000008109
OG0002170,s3_000604-RA,ENSCPOP00000008100
OG0002171,s3_000603-RA,ENSCPOP00000006809
OG0002172,s3_000600-RA,ENSCPOP00000003901
OG0002173,s3_000599-RA,ENSCPOP00000006722
OG0002174,s3_000597-RA,ENSCPOP00000006718
OG0002175,s3_000596-RA,ENSCPOP00000013692
OG0002176,s3_000595-RA,ENSCPOP00000013690
OG0002177,s3_000594-RA,ENSCPOP00000018330
OG0002178,s3_000592-RA,ENSCPOP00000006480
OG0002179,s2_002866-RA,ENSCPOP00000002494
OG0002180,s3_000590-RA,ENSCPOP00000000402
OG0002181,s3_000589-RA,ENSCPOP00000002980
OG0002182,s3_000588-RA,ENSCPOP00000003248
OG0002183,s3_000587-RA,ENSCPOP00000003246
OG0002184,s3_000586-RA,ENSCPOP00000003245
OG0002185,s3_000585-RA,ENSCPOP00000000475
OG0002186,s3_000584-RA,ENSCPOP00000009872
OG0002187,s3_000583-RA,ENSCPOP00000009866
OG0002188,s3_000581-RA,ENSCPOP00000002792
OG0002189,s3_000577-RA,ENSCPOP00000012083
OG0002190,s7_001032-RA,ENSCPOP00000010649
OG0002191,s7_001030-RA,ENSCPOP00000013951
OG0002192,s7_001029-RA,ENSCPOP00000005260
OG0002193,s7_001027-RA,ENSCPOP00000004031
OG0002194,s7_001019-RA,ENSCPOP00000001012
OG0002195,s7_001015-RA,ENSCPOP00000009278
OG0002196,s8_001168-RA,ENSCPOP00000004728
OG0002197,s8_001165-RA,ENSCPOP00000010630
OG0002198,s8_001163-RA,ENSCPOP00000001574
OG0002199,s8_001161-RA,ENSCPOP00000001582
OG0002200,s8_001160-RA,ENSCPOP00000016013
OG0002201,s8_001159-RA,ENSCPOP00000001557
OG0002202,s8_001154-RA,ENSCPOP00000013205
OG0002203,s8_001153-RA,ENSCPOP00000005605
OG0002204,s8_001152-RA,ENSCPOP00000002971
OG0002205,s8_001151-RA,ENSCPOP00000001522
OG0002206,s8_001150-RA,ENSCPOP00000002974
OG0002207,s8_001148-RA,ENSCPOP00000020670
OG0002208,s8_001146-RA,ENSCPOP00000005407
OG0002209,s8_001145-RA,ENSCPOP00000003319
OG0002210,s8_001144-RA,ENSCPOP00000001003
OG0002211,s8_001141-RA,ENSCPOP00000001007
OG0002212,s8_001135-RA,ENSCPOP00000001010
OG0002213,s8_001133-RA,ENSCPOP00000018094
OG0002214,s8_001132-RA,ENSCPOP00000009873
OG0002215,s8_001131-RA,ENSCPOP00000009882
OG0002216,s8_001130-RA,ENSCPOP00000014082
OG0002217,s8_001129-RA,ENSCPOP00000014057
OG0002218,s8_001128-RA,ENSCPOP00000019610
OG0002219,s8_001127-RA,ENSCPOP00000002237
OG0002220,s8_001126-RA,ENSCPOP00000008702
OG0002221,s8_001124-RA,ENSCPOP00000008707
OG0002222,s8_001122-RA,ENSCPOP00000008711
OG0002223,s8_001120-RA,ENSCPOP00000001593
OG0002224,s8_001119-RA,ENSCPOP00000009477
OG0002225,s8_001118-RA,ENSCPOP00000015216
OG0002226,s8_001117-RA,ENSCPOP00000010631
OG0002227,s8_001115-RA,ENSCPOP00000008713
OG0002228,s8_001112-RA,ENSCPOP00000001391
OG0002229,s8_001110-RA,ENSCPOP00000020650
OG0002230,s8_001109-RA,ENSCPOP00000019685
OG0002231,s8_001106-RA,ENSCPOP00000014012
OG0002232,s8_001105-RA,ENSCPOP00000014013
OG0002233,s8_001104-RA,ENSCPOP00000014015
OG0002234,s8_001097-RA,ENSCPOP00000003481
OG0002235,s8_001094-RA,ENSCPOP00000003324
OG0002236,s8_001093-RA,ENSCPOP00000004978
OG0002237,s8_001092-RA,ENSCPOP00000000046
OG0002238,s8_001091-RA,ENSCPOP00000004148
OG0002239,s8_001083-RA,ENSCPOP00000017215
OG0002240,s8_001082-RA,ENSCPOP00000014768
OG0002241,s8_001080-RA,ENSCPOP00000012932
OG0002242,s8_001078-RA,ENSCPOP00000009721
OG0002243,s8_001074-RA,ENSCPOP00000005985
OG0002244,s5_001330-RA,ENSCPOP00000013542
OG0002245,s5_001332-RA,ENSCPOP00000020317
OG0002246,s5_001333-RA,ENSCPOP00000017446
OG0002247,s8_001047-RA,ENSCPOP00000016670
OG0002248,s8_001048-RA,ENSCPOP00000015716
